縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
台北市,松山區,中崙里,1309,1493246,1141,787,448,1454,1195.98,104.84
台北市,松山區,自強里,2260,2579061,1141,815,469,1406,2919.76,255.86
台北市,松山區,鵬程里,1828,2680437,1466,812,449,1498,10918.43,744.61
台北市,松山區,東榮里,3178,6619189,2083,982,493,2003,10886.35,522.67
台北市,松山區,介壽里,1631,2221046,1362,872,453,1642,1623.94,119.25
台北市,松山區,東勢里,1155,1533545,1328,776,424,1491,2455.99,184.97
台北市,松山區,東光里,2775,3562600,1284,823,456,1555,2015.88,157.02
台北市,松山區,中正里,2850,4837101,1697,969,490,1930,3132.38,184.56
台北市,松山區,復盛里,2191,2334404,1065,758,424,1389,1060.20,99.51
台北市,松山區,復勢里,2202,2631353,1195,806,444,1464,1392.39,116.52
台北市,松山區,美仁里,1191,1638632,1376,882,474,1657,1768.50,128.54
台北市,松山區,吉仁里,1342,1755069,1308,813,461,1600,1637.97,125.25
台北市,松山區,精忠里,1605,3844857,2396,935,502,1753,30826.55,1286.83
台北市,松山區,東昌里,1747,3961007,2267,935,483,1820,22630.20,998.10
台北市,松山區,福成里,972,2381865,2450,946,496,1836,25647.41,1046.63
台北市,松山區,中華里,1799,2998438,1667,1077,570,2027,2230.49,133.82
台北市,松山區,吉祥里,2822,3761458,1333,817,440,1605,3648.09,273.69
台北市,松山區,新東里,1785,1892920,1060,737,416,1359,1024.89,96.65
台北市,松山區,三民里,2910,3846952,1322,847,461,1553,1833.71,138.71
台北市,松山區,復建里,1259,1532370,1217,774,441,1485,1544.39,126.89
台北市,松山區,敦化里,2362,3402574,1441,893,485,1638,3300.74,229.13
台北市,松山區,安平里,2735,2643739,967,691,408,1233,1023.70,105.90
台北市,松山區,富錦里,1953,2509456,1285,779,417,1553,2033.20,158.23
台北市,松山區,莊敬里,1808,1614446,893,648,388,1134,828.41,92.77
台北市,松山區,新益里,1606,1624779,1012,712,390,1274,1114.15,110.13
台北市,松山區,富泰里,1671,1917209,1147,789,420,1463,1263.62,110.13
台北市,松山區,龍田里,1913,2384203,1246,844,466,1600,1941.55,155.78
台北市,松山區,慈祐里,1833,1619966,884,607,350,1034,1167.92,132.15
台北市,松山區,復源里,1088,1166603,1072,740,431,1390,1059.44,98.81
台北市,松山區,民福里,2207,2456008,1113,770,421,1377,1463.00,131.47
台北市,松山區,松基里,1426,2305739,1617,825,435,1739,3249.62,200.98
