縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
台北市,松山區,中崙里,1439,2452035,1704,817,356,1902,5899.26,346.20
台北市,松山區,自強里,3029,4355839,1438,666,285,1629,3517.94,244.63
台北市,松山區,鵬程里,1675,2131380,1272,629,284,1417,2108.18,165.68
台北市,松山區,東榮里,2848,4864823,1708,850,356,2071,3290.15,192.61
台北市,松山區,介壽里,1502,2273388,1514,842,326,1821,2162.92,142.90
台北市,松山區,東勢里,1542,2465747,1599,739,314,1675,7569.07,473.35
台北市,松山區,東光里,2475,3271246,1322,669,291,1482,2512.34,190.08
台北市,松山區,中正里,3459,6281849,1816,994,382,2182,3612.39,198.91
台北市,松山區,復盛里,2194,2316239,1056,629,270,1272,1370.05,129.77
台北市,松山區,復勢里,2329,3211420,1379,766,331,1616,2181.27,158.19
台北市,松山區,美仁里,1217,1898166,1560,775,353,1737,2515.82,161.30
台北市,松山區,吉仁里,1386,1918760,1384,745,327,1774,1764.47,127.46
台北市,松山區,精忠里,1547,2514123,1625,834,336,1870,3746.22,230.51
台北市,松山區,東昌里,909,1491625,1641,818,311,1948,3743.13,228.11
台北市,松山區,福成里,925,1589180,1718,816,315,1960,2984.66,173.73
台北市,松山區,中華里,2324,4965508,2137,950,397,2268,10579.17,495.14
台北市,松山區,吉祥里,2978,3743134,1257,676,303,1470,2063.95,164.21
台北市,松山區,新東里,1724,2102319,1219,674,286,1451,2479.00,203.29
台北市,松山區,三民里,2420,3086564,1275,686,285,1512,2005.53,157.24
台北市,松山區,復建里,1608,2314511,1439,788,342,1838,1811.60,125.86
台北市,松山區,敦化里,2419,3398274,1405,773,339,1744,2177.49,155.00
台北市,松山區,安平里,2921,3018964,1034,603,272,1211,1603.20,155.12
台北市,松山區,富錦里,1807,2296289,1271,683,284,1553,1883.47,148.21
台北市,松山區,莊敬里,1638,1576821,963,610,272,1204,1353.10,140.56
台北市,松山區,新益里,1632,1787681,1095,602,271,1351,1785.63,163.01
台北市,松山區,富泰里,1650,2088768,1266,731,294,1611,1872.98,147.95
台北市,松山區,龍田里,3678,6204706,1687,977,385,2175,2398.50,142.18
台北市,松山區,慈祐里,2504,2506856,1001,576,246,1219,1372.43,137.09
台北市,松山區,復源里,1156,1790611,1549,796,318,1769,2895.43,186.93
台北市,松山區,民福里,2141,2295420,1072,579,266,1247,2219.39,207.01
台北市,松山區,松基里,1331,3196607,2402,745,335,1860,23884.16,994.49
台北市,松山區,新聚里,2852,3262798,1144,650,281,1357,1748.77,152.86
台北市,松山區,民有里,3372,5784679,1716,791,341,1835,4291.90,250.18
台北市,大安區,建安里,1801,3121211,1733,832,351,1862,4225.39,243.81
台北市,大安區,通安里,1859,2407721,1295,645,277,1416,2354.72,181.81
台北市,大安區,民輝里,2547,5279405,2073,848,339,2107,6844.67,330.21
台北市,大安區,德安里,2006,3373591,1682,770,311,1923,3005.18,178.69
台北市,大安區,敦安里,2269,4486969,1978,936,383,2205,3615.72,182.84
台北市,大安區,光明里,1321,2674318,2024,1035,397,2282,5488.43,271.11
台北市,大安區,永康里,1298,2169398,1671,848,346,1832,3825.38,228.88
台北市,大安區,福住里,2238,4333880,1936,985,365,2194,4341.60,224.20
台北市,大安區,仁愛里,1926,3937178,2044,948,377,2180,4221.70,206.52
台北市,大安區,義村里,2014,2609007,1295,641,267,1495,2303.92,177.85
台北市,大安區,臥龍里,712,1241338,1743,845,318,1940,3050.28,174.96
台北市,大安區,通化里,2123,2360300,1112,635,282,1302,1595.29,143.49
台北市,大安區,龍生里,2372,4242513,1789,934,369,2142,3078.55,172.12
台北市,大安區,新龍里,2394,3872524,1618,874,340,2021,2582.44,159.65
台北市,大安區,住安里,1770,2441572,1379,656,262,1514,2510.40,181.99
台北市,大安區,錦泰里,1330,2324082,1747,1006,392,2230,2262.04,129.45
台北市,大安區,建倫里,2247,4444974,1978,942,368,2199,5231.18,264.44
台北市,大安區,錦華里,2110,3562372,1688,996,392,2210,2209.30,130.86
台北市,大安區,光武里,2708,3802974,1404,739,299,1617,3676.93,261.82
台北市,大安區,仁慈里,1930,3600512,1866,946,367,2219,3857.65,206.78
台北市,大安區,黎孝里,2636,2709973,1028,601,284,1279,1332.38,129.60
台北市,大安區,民炤里,3015,5687673,1886,958,368,2221,2957.20,156.76
台北市,大安區,昌隆里,1183,1861518,1574,853,351,1892,2345.80,149.08
台北市,大安區,黎和里,1661,1994382,1201,650,282,1575,1590.44,132.46
台北市,大安區,龍雲里,1724,2633300,1527,749,323,1737,2521.24,165.06
台北市,大安區,芳和里,1967,2334442,1187,598,264,1329,2221.43,187.18
台北市,大安區,龍安里,2331,4916540,2109,971,374,2251,7415.33,351.57
台北市,大安區,義安里,2029,3788583,1867,841,345,1974,3363.11,180.11
台北市,大安區,虎嘯里,1440,2360829,1639,823,335,1922,2824.12,172.26
台北市,大安區,龍淵里,3185,4981207,1564,922,363,1988,2116.50,135.33
台北市,大安區,龍坡里,2012,3340872,1660,924,350,2105,2482.67,149.52
台北市,大安區,龍門里,1543,2927698,1897,1052,422,2351,2599.51,137.00
台北市,大安區,敦煌里,2222,3826714,1722,917,371,2039,2540.94,147.54
台北市,大安區,群賢里,2084,3103484,1489,738,292,1652,3257.87,218.77
台北市,大安區,車層里,2273,3793475,1669,825,322,1912,2692.91,161.36
台北市,大安區,光信里,2601,4391843,1689,807,350,1834,4473.03,264.91
台北市,大安區,和安里,2326,4745674,2040,913,333,2128,9956.85,488.02
台北市,大安區,正聲里,1699,2927469,1723,802,326,1714,4603.89,267.19
台北市,大安區,誠安里,1449,1787813,1234,669,275,1502,1700.35,137.81
台北市,大安區,華聲里,1468,2909915,1982,743,298,1686,21545.17,1086.92
台北市,大安區,臨江里,1324,1241814,938,545,261,1144,1374.60,146.56
台北市,大安區,龍陣里,1266,1968628,1555,766,339,1743,2686.14,172.74
台北市,大安區,龍圖里,2516,4247900,1688,785,334,1801,3256.19,192.86
台北市,大安區,古莊里,2770,3973668,1435,783,319,1737,2038.53,142.10
