縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
台北市,松山區,中崙里,1365,1550420,1136,767,403,1374,1423.06,125.29
台北市,松山區,自強里,2928,3157566,1078,735,389,1377,1615.74,149.83
台北市,松山區,鵬程里,1802,2019300,1121,693,380,1417,1338.54,119.45
台北市,松山區,東榮里,3022,4753886,1573,848,408,1749,4210.67,267.67
台北市,松山區,介壽里,1536,2081028,1355,825,416,1623,2038.06,150.43
台北市,松山區,東勢里,1574,2398122,1524,745,387,1473,12969.69,851.26
台北市,松山區,東光里,2514,2901614,1154,729,362,1435,1550.55,134.34
台北市,松山區,中正里,3292,5301486,1610,914,446,1729,4266.73,264.95
台北市,松山區,復盛里,2116,2243415,1060,684,379,1244,2014.27,189.99
台北市,松山區,復勢里,2144,2487163,1160,718,387,1395,1497.89,129.12
台北市,松山區,美仁里,1158,1429662,1235,770,405,1452,1714.15,138.84
台北市,松山區,吉仁里,1367,1669575,1221,686,359,1432,3171.23,259.65
台北市,松山區,精忠里,1526,2458949,1611,819,422,1723,5391.74,334.61
台北市,松山區,東昌里,1029,3770609,3664,852,435,1631,62019.93,1692.53
台北市,松山區,福成里,936,1861271,1989,798,411,1687,14056.69,706.89
台北市,松山區,中華里,2262,4176444,1846,989,460,1991,7861.58,425.79
台北市,松山區,吉祥里,2968,3350718,1129,732,383,1361,1494.99,132.42
台北市,松山區,新東里,1696,1652317,974,663,388,1210,1267.56,130.11
台北市,松山區,三民里,2468,3147266,1275,725,388,1448,3032.91,237.83
台北市,松山區,復建里,1446,1666170,1152,811,432,1459,1200.84,104.22
台北市,松山區,敦化里,2437,2919187,1198,773,403,1472,1748.01,145.93
台北市,松山區,安平里,2527,2191547,867,624,364,1093,822.74,94.87
台北市,松山區,富錦里,1740,2069686,1189,685,374,1332,2293.81,192.84
台北市,松山區,莊敬里,1610,1320128,820,578,356,1051,789.68,96.31
台北市,松山區,新益里,1541,1446998,939,646,377,1190,928.17,98.85
台北市,松山區,富泰里,1599,1772434,1108,737,392,1414,1645.76,148.47
台北市,松山區,龍田里,3265,4291350,1314,876,456,1631,2925.93,222.61
台北市,松山區,慈祐里,1991,1659528,834,568,326,981,1070.94,128.48
台北市,松山區,復源里,1036,1108593,1070,726,387,1298,1515.44,141.62
台北市,松山區,民福里,2066,2025626,980,658,368,1262,1126.05,114.85
台北市,松山區,松基里,1372,1968429,1435,746,357,1488,3274.26,228.22
台北市,松山區,新聚里,2669,2791426,1046,670,383,1194,3766.03,360.09
台北市,松山區,民有里,3302,5099909,1544,775,402,1576,5139.28,332.75
台北市,大安區,建安里,1957,2804205,1433,776,378,1592,2945.50,205.56
台北市,大安區,通安里,1809,1907946,1055,639,375,1263,1447.14,137.21
台北市,大安區,民輝里,2538,6026299,2374,855,410,1892,14973.81,630.63
台北市,大安區,德安里,2057,3498588,1701,836,427,1773,5011.12,294.63
台北市,大安區,敦安里,2351,3988765,1697,874,416,1884,3054.99,180.06
台北市,大安區,光明里,1230,1974836,1606,821,387,1747,4196.16,261.35
台北市,大安區,永康里,1228,1742844,1419,762,389,1665,3035.08,213.85
台北市,大安區,福住里,2147,3533696,1646,909,424,1841,4406.59,267.74
台北市,大安區,仁愛里,2189,6322173,2888,918,415,2080,20237.05,700.69
台北市,大安區,義村里,2121,2359290,1112,690,355,1372,1723.24,154.92
台北市,大安區,臥龍里,691,1027285,1487,752,385,1456,4667.15,313.93
台北市,大安區,通化里,1889,1790067,948,603,344,1163,1865.81,196.89
台北市,大安區,龍生里,2254,3271303,1451,869,453,1796,2342.26,161.39
台北市,大安區,新龍里,2218,2913815,1314,837,408,1713,1883.96,143.41
台北市,大安區,住安里,1642,2033554,1238,707,388,1334,3002.53,242.44
台北市,大安區,錦泰里,1542,2145939,1392,835,410,1697,3083.60,221.58
台北市,大安區,建倫里,2397,4005559,1671,816,407,1764,4278.31,256.02
