縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
台北市,松山區,中崙里,1470,2758818,1877,857,382,2009,7436.57,396.25
台北市,松山區,自強里,3086,4489567,1455,700,316,1714,4308.61,296.16
台北市,松山區,鵬程里,1651,2101529,1273,643,284,1468,1809.43,142.15
台北市,松山區,東榮里,2870,4951999,1725,878,376,2031,2952.78,171.13
台北市,松山區,介壽里,1538,2393411,1556,860,350,1881,2195.27,141.07
台北市,松山區,東勢里,1593,2220764,1394,734,310,1679,2270.81,162.89
台北市,松山區,東光里,2538,3384784,1334,699,312,1543,2238.90,167.88
台北市,松山區,中正里,3495,6656986,1905,1021,416,2267,3621.05,190.11
台北市,松山區,復盛里,2181,2362484,1083,629,289,1272,1500.79,138.55
台北市,松山區,復勢里,2383,3335209,1400,802,350,1667,2049.83,146.46
台北市,松山區,美仁里,1232,1924298,1562,860,383,1889,2165.95,138.67
台北市,松山區,吉仁里,1403,2027280,1445,808,349,1858,1858.33,128.61
台北市,松山區,精忠里,1567,2618987,1671,863,340,1788,4797.65,287.05
台北市,松山區,東昌里,892,1606335,1801,934,373,1967,5342.03,296.64
台北市,松山區,福成里,950,1676739,1765,892,396,1969,2863.83,162.26
台北市,松山區,中華里,2360,12426966,5266,984,428,2329,162939.40,3094.38
台北市,松山區,吉祥里,3010,3805439,1264,702,312,1515,1924.76,152.24
台北市,松山區,新東里,1746,2102713,1204,682,295,1463,2207.71,183.32
台北市,松山區,三民里,2483,3210560,1293,716,308,1511,1966.65,152.10
台北市,松山區,復建里,1632,2440401,1495,827,377,1918,1888.10,126.27
台北市,松山區,敦化里,2438,3517928,1443,808,345,1777,2168.43,150.28
台北市,松山區,安平里,2964,3138907,1059,616,286,1243,1719.53,162.37
台北市,松山區,富錦里,1849,2331522,1261,684,307,1550,1695.34,134.45
台北市,松山區,莊敬里,1638,1647528,1006,636,311,1267,1682.28,167.25
台北市,松山區,新益里,1632,1779714,1091,637,286,1364,1573.59,144.30
台北市,松山區,富泰里,1671,2055168,1230,704,303,1609,1588.93,129.19
台北市,松山區,龍田里,3726,6419927,1723,1003,410,2227,2383.43,138.33
台北市,松山區,慈祐里,2644,2703820,1023,592,258,1238,1431.48,139.98
台北市,松山區,復源里,1152,1753325,1522,804,343,1831,2831.16,186.02
台北市,松山區,民福里,2199,2299484,1046,600,274,1238,1658.68,158.62
台北市,松山區,松基里,1330,3136639,2358,789,347,1802,25446.67,1078.99
台北市,松山區,新聚里,2856,3250196,1138,667,294,1364,1525.39,134.04
台北市,松山區,民有里,3415,5950397,1742,832,375,1894,4264.81,244.76
台北市,大安區,建安里,1801,3297683,1831,929,383,1928,4426.78,241.76
台北市,大安區,通安里,1873,2399487,1281,634,287,1436,2094.72,163.51
台北市,大安區,民輝里,2580,5201949,2016,861,359,2054,4122.19,204.45
台北市,大安區,德安里,2018,3585086,1777,848,352,2012,2971.69,167.27
台北市,大安區,敦安里,2300,4672448,2031,950,406,2215,3723.52,183.29
台北市,大安區,光明里,1347,2889579,2145,1046,423,2317,7099.85,330.97
台北市,大安區,永康里,1305,2155169,1651,883,380,1816,3944.30,238.84
台北市,大安區,福住里,2263,4307604,1903,982,412,2105,4171.85,219.17
台北市,大安區,仁愛里,1940,4777077,2462,1020,415,2417,8726.23,354.38
台北市,大安區,義村里,1996,2755296,1380,692,304,1573,2752.53,199.40
台北市,大安區,臥龍里,726,1435529,1977,910,360,2201,5156.78,260.80
台北市,大安區,通化里,2116,2566048,1213,667,299,1382,2224.07,183.40
台北市,大安區,龍生里,2425,4360332,1798,928,392,2148,3237.94,180.08
台北市,大安區,新龍里,2409,3868753,1606,909,366,2019,2479.04,154.37
台北市,大安區,住安里,1770,2632656,1487,703,286,1570,4245.80,285.46
台北市,大安區,錦泰里,1338,2340249,1749,1056,394,2294,2310.47,132.10
台北市,大安區,建倫里,2289,4486250,1960,963,370,2217,5275.94,269.19
台北市,大安區,錦華里,2136,3613244,1692,1027,400,2209,2107.40,124.58
台北市,大安區,光武里,2715,4037544,1487,788,344,1679,3820.27,256.89
台北市,大安區,仁慈里,1946,3798355,1952,965,399,2230,4491.54,230.11
台北市,大安區,黎孝里,2627,2841193,1082,650,296,1316,1411.84,130.54
台北市,大安區,民炤里,3035,5471299,1803,939,382,2184,2960.09,164.20
台北市,大安區,昌隆里,1210,1972461,1630,864,340,1927,2376.77,145.80
台北市,大安區,黎和里,1693,2137608,1263,699,311,1607,1665.80,131.93
台北市,大安區,龍雲里,1741,2645030,1519,777,340,1767,2267.90,149.28
台北市,大安區,芳和里,1953,2386173,1222,625,289,1373,2583.74,211.47
台北市,大安區,龍安里,2362,4928475,2087,998,370,2286,6440.17,308.65
台北市,大安區,義安里,2012,3796028,1887,899,373,2021,3366.81,178.45
台北市,大安區,虎嘯里,1463,2383701,1629,830,328,1914,2669.71,163.85
台北市,大安區,龍淵里,3211,5151197,1604,916,377,1982,2342.64,146.03
台北市,大安區,龍坡里,2030,3376770,1663,903,377,2172,2248.85,135.19
台北市,大安區,龍門里,1564,2982067,1907,1079,422,2275,2774.91,145.54
台北市,大安區,敦煌里,2201,3983460,1810,955,391,2097,3069.09,169.58
台北市,大安區,群賢里,2095,3129050,1494,755,324,1708,2164.84,144.94
台北市,大安區,車層里,2298,3847042,1674,848,340,1956,3066.89,183.20
台北市,大安區,光信里,2637,4437338,1683,840,363,1849,4348.43,258.42
台北市,大安區,和安里,2359,4769634,2022,946,359,2221,6746.67,333.68
台北市,大安區,正聲里,1697,3040228,1792,835,353,1805,4278.65,238.83
台北市,大安區,誠安里,1462,1904589,1303,717,296,1565,1959.03,150.38
台北市,大安區,華聲里,1487,2375022,1597,774,306,1713,5284.14,330.84
台北市,大安區,臨江里,1363,1279774,939,533,266,1151,1319.25,140.50
台北市,大安區,龍陣里,1282,2155085,1681,813,357,1864,3114.78,185.29
