縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
台北市,松山區,中崙里,1304,1392394,1068,734,397,1336,1134.40,106.24
台北市,松山區,自強里,2777,3124742,1125,788,413,1435,1189.69,105.73
台北市,松山區,鵬程里,1794,2128317,1186,783,410,1557,1364.46,115.01
台北市,松山區,東榮里,3063,5777946,1886,856,425,1820,9273.78,491.62
台北市,松山區,介壽里,1632,2335998,1431,833,440,1669,2245.93,156.91
台北市,松山區,東勢里,1493,2308654,1546,756,405,1506,10004.25,646.97
台北市,松山區,東光里,2591,3209972,1239,751,393,1487,1811.11,146.19
台北市,松山區,中正里,3005,4945445,1646,887,451,1828,4158.90,252.71
台北市,松山區,復盛里,2118,2220520,1048,727,403,1319,1151.50,109.83
台北市,松山區,復勢里,2157,2514292,1166,752,390,1411,1758.67,150.88
台北市,松山區,美仁里,1163,1491964,1283,818,450,1568,1785.75,139.20
台北市,松山區,吉仁里,1356,1581645,1166,717,387,1454,1476.04,126.55
台北市,松山區,精忠里,1560,3503270,2246,877,439,1728,27535.42,1226.15
台北市,松山區,東昌里,1129,3819450,3383,899,460,1762,41701.57,1232.67
台北市,松山區,福成里,946,1617096,1709,904,455,1767,3260.26,190.72
台北市,松山區,中華里,2068,3677374,1778,1056,495,2082,3072.32,172.77
台北市,松山區,吉祥里,2979,3550517,1192,756,405,1457,1505.66,126.33
台北市,松山區,新東里,1706,1763987,1034,701,408,1307,1098.67,106.26
台北市,松山區,三民里,2604,3384483,1300,763,411,1479,2374.73,182.71
台北市,松山區,復建里,1267,1507463,1190,783,443,1490,1239.09,104.14
台北市,松山區,敦化里,2384,3109715,1304,815,437,1558,1914.83,146.80
台北市,松山區,安平里,2555,2313033,905,634,365,1134,958.93,105.92
台北市,松山區,富錦里,1851,2312676,1249,707,391,1438,2109.71,168.85
台北市,松山區,莊敬里,1687,1425313,845,616,362,1051,892.65,105.65
台北市,松山區,新益里,1518,1489828,981,668,369,1256,1134.96,115.64
台北市,松山區,富泰里,1611,1856516,1152,772,417,1481,1489.08,129.22
台北市,松山區,龍田里,3155,3884627,1231,880,468,1614,1219.08,99.01
台北市,松山區,慈祐里,1779,1434263,806,553,329,950,983.63,122.01
台北市,松山區,復源里,1003,1052151,1049,703,395,1302,1174.49,111.96
台北市,松山區,民福里,2165,2230653,1030,686,382,1273,1452.09,140.93
台北市,松山區,松基里,1403,2220981,1583,808,414,1676,3215.34,203.11
台北市,松山區,新聚里,2684,2803024,1044,681,385,1224,1754.50,168.00
台北市,松山區,民有里,3378,5706120,1689,870,432,1756,4267.47,252.63
台北市,大安區,建安里,2015,3097404,1537,850,419,1747,2669.66,173.67
台北市,大安區,通安里,1839,2001395,1088,641,359,1249,1781.91,163.73
台北市,大安區,民輝里,2463,5466885,2220,824,397,1867,12250.39,551.92
台北市,大安區,德安里,2097,4003723,1909,874,429,1764,8520.83,446.29
台北市,大安區,敦安里,2454,4772581,1945,934,447,1986,7222.76,371.39
台北市,大安區,光明里,1190,2046373,1720,809,398,1661,5416.61,314.98
台北市,大安區,永康里,1134,1496260,1319,811,395,1717,1613.48,122.28
台北市,大安區,福住里,2101,3564163,1696,927,432,1929,4037.39,238.00
台北市,大安區,仁愛里,2327,6434626,2765,985,450,2237,14244.10,515.12
台北市,大安區,義村里,2259,2716970,1203,743,389,1412,1885.39,156.76
台北市,大安區,臥龍里,762,993164,1303,744,382,1436,3224.81,247.42
台北市,大安區,通化里,1880,1803527,959,632,349,1176,1517.65,158.20
台北市,大安區,龍生里,2195,3059269,1394,912,452,1843,1735.24,124.50
台北市,大安區,新龍里,2182,2882446,1321,877,446,1654,1979.63,149.86
台北市,大安區,住安里,1676,2139256,1276,695,386,1367,2805.45,219.79
台北市,大安區,錦泰里,1629,2215364,1360,860,416,1747,2792.22,205.32
台北市,大安區,建倫里,2453,4748852,1936,942,452,1968,5799.68,299.58
台北市,大安區,錦華里,1774,2632863,1484,952,482,1814,2752.16,185.44
台北市,大安區,光武里,2953,4270185,1446,755,393,1528,3254.35,225.05
台北市,大安區,仁慈里,1900,3253689,1712,918,442,1922,3680.48,214.92
台北市,大安區,黎孝里,2496,2540407,1018,691,389,1269,1265.69,124.36
台北市,大安區,民炤里,2937,5529704,1883,926,427,1896,5047.50,268.09
台北市,大安區,昌隆里,1306,1718081,1316,783,392,1569,1659.47,126.14
台北市,大安區,黎和里,1381,1351598,979,674,382,1247,1071.27,109.46
台北市,大安區,龍雲里,1844,3924317,2128,850,412,1758,11679.62,548.81
台北市,大安區,青？里,19,21413,1127,503,320,1183,1235.08,109.59
台北市,大安區,芳和里,1913,1943239,1016,639,368,1233,1387.31,136.57
