縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
台北市,松山區,中崙里,1467,3090163,2106,892,382,2175,9128.57,433.36
台北市,松山區,自強里,3029,4553214,1503,718,324,1735,3690.58,245.51
台北市,松山區,鵬程里,1638,2170236,1325,663,298,1418,2100.67,158.55
台北市,松山區,東榮里,2859,5121660,1791,896,378,2143,3516.40,196.29
台北市,松山區,介壽里,1506,2285588,1518,834,351,1902,2159.01,142.26
台北市,松山區,東勢里,1534,2200658,1435,779,333,1671,2463.96,171.75
台北市,松山區,東光里,2510,3338167,1330,721,316,1562,2051.49,154.25
台北市,松山區,中正里,3397,6757801,1989,1049,417,2397,3109.80,156.32
台北市,松山區,復盛里,2130,2323103,1091,636,286,1326,1389.47,127.40
台北市,松山區,復勢里,2372,3413938,1439,824,356,1706,2052.80,142.63
台北市,松山區,美仁里,1227,2057031,1676,896,439,2047,2481.81,148.04
台北市,松山區,吉仁里,1404,2063870,1470,795,355,1863,2034.35,138.39
台北市,松山區,精忠里,1518,2573805,1696,866,356,1846,4511.71,266.10
台北市,松山區,東昌里,886,1595452,1801,907,348,1931,5611.43,311.62
台北市,松山區,福成里,930,1662828,1788,872,358,1936,2964.33,165.79
台北市,松山區,中華里,2322,8101900,3489,993,412,2345,74466.38,2134.20
台北市,松山區,吉祥里,2953,3917734,1327,727,327,1560,2247.74,169.42
台北市,松山區,新東里,1728,2052577,1188,704,305,1481,1805.71,152.02
台北市,松山區,三民里,2471,3368093,1363,734,329,1647,2066.09,151.58
台北市,松山區,復建里,1623,2627909,1619,887,386,2059,2182.65,134.80
台北市,松山區,敦化里,2378,4174980,1756,858,378,1868,11740.58,668.72
台北市,松山區,安平里,2925,3138250,1073,638,273,1285,1777.95,165.71
台北市,松山區,富錦里,1829,2362327,1292,707,307,1501,1913.23,148.13
台北市,松山區,莊敬里,1669,1651529,990,636,304,1288,1206.27,121.90
台北市,松山區,新益里,1577,1797269,1140,665,295,1414,1844.58,161.85
台北市,松山區,富泰里,1664,2151942,1293,750,331,1629,1818.44,140.61
台北市,松山區,龍田里,3717,6647760,1788,1033,413,2291,2611.11,146.00
台北市,松山區,慈祐里,2705,2966487,1097,615,258,1274,1693.84,154.45
台北市,松山區,復源里,1156,2816682,2437,774,360,1840,29992.22,1230.92
台北市,松山區,民福里,2149,2346360,1092,621,283,1307,1685.63,154.38
台北市,松山區,松基里,1345,2600934,1934,763,344,1823,9925.87,513.29
台北市,松山區,新聚里,2815,3273069,1163,677,297,1424,1598.92,137.51
台北市,松山區,民有里,3340,5967479,1787,849,369,1946,4543.02,254.27
台北市,大安區,建安里,1784,3289268,1844,908,394,1927,3972.05,215.43
台北市,大安區,通安里,1854,2468711,1332,653,293,1439,2277.93,171.07
台北市,大安區,民輝里,2599,5358889,2062,860,334,2137,5139.42,249.26
台北市,大安區,德安里,1959,3733622,1906,888,362,2098,4070.26,213.56
台北市,大安區,敦安里,2257,4845708,2147,993,417,2279,4779.52,222.62
台北市,大安區,光明里,1322,2916923,2206,1074,447,2384,6064.14,274.84
台北市,大安區,永康里,1285,2195368,1708,926,372,1958,3645.56,213.38
台北市,大安區,福住里,2232,4501297,2017,1052,422,2259,4460.71,221.19
台北市,大安區,仁愛里,1873,4583210,2447,1034,406,2423,9608.21,392.65
台北市,大安區,義村里,2017,2787789,1382,720,312,1604,2348.75,169.94
台北市,大安區,臥龍里,744,1487835,2000,937,363,2184,4018.37,200.94
台北市,大安區,通化里,2079,2553970,1228,660,295,1427,2082.21,169.50
台北市,大安區,龍生里,2461,4648875,1889,976,411,2250,3150.96,166.80
台北市,大安區,新龍里,2354,4056323,1723,912,358,2079,3647.96,211.70
台北市,大安區,住安里,1708,2614654,1531,744,312,1593,2897.46,189.27
台北市,大安區,錦泰里,1324,2460062,1858,1077,403,2344,2746.34,147.81
台北市,大安區,建倫里,2240,4320563,1929,946,374,2147,4039.83,209.45
台北市,大安區,錦華里,2097,3881235,1851,1075,433,2294,3102.41,167.62
台北市,大安區,光武里,2695,4236846,1572,825,347,1728,4008.06,254.95
台北市,大安區,仁慈里,1911,3874351,2027,982,418,2283,4800.27,236.77
台北市,大安區,黎孝里,2602,2905267,1117,667,311,1360,1431.85,128.24
台北市,大安區,民炤里,3037,5947655,1958,982,390,2237,3289.47,167.97
台北市,大安區,昌隆里,1191,2131630,1790,860,359,1968,3395.38,189.71
台北市,大安區,黎和里,1675,2218828,1325,745,319,1664,1785.04,134.75
台北市,大安區,龍雲里,1723,2709973,1573,821,342,1817,2373.56,150.91
台北市,大安區,芳和里,1955,2408422,1232,618,273,1432,2027.25,164.56
台北市,大安區,龍安里,2343,5006103,2137,979,376,2289,8512.40,398.40
台北市,大安區,義安里,2029,4156987,2049,939,400,2172,3764.25,183.73
台北市,大安區,虎嘯里,1468,2565052,1747,857,336,1987,4041.33,231.29
台北市,大安區,龍淵里,3175,5303419,1670,938,396,2043,2373.75,142.11
台北市,大安區,龍坡里,2039,3574723,1753,939,395,2228,2790.46,159.17
台北市,大安區,龍門里,1503,2907980,1935,1122,435,2287,2869.18,148.29
台北市,大安區,敦煌里,2190,4136840,1889,971,395,2165,3277.12,173.49
台北市,大安區,群賢里,2086,3236400,1551,767,338,1756,2308.47,148.79
台北市,大安區,車層里,2277,4068914,1787,877,363,1949,3601.62,201.55
台北市,大安區,光信里,2588,4385188,1694,849,369,1915,3441.74,203.12
台北市,大安區,和安里,2336,4505075,1929,958,376,2161,3592.15,186.26
台北市,大安區,正聲里,1687,3487191,2067,853,376,1964,6654.71,321.94
台北市,大安區,誠安里,1483,2016590,1360,719,307,1615,2261.94,166.34
台北市,大安區,華聲里,1493,2349256,1574,785,329,1778,3258.15,207.06
台北市,大安區,臨江里,1362,1272777,934,558,263,1128,1291.46,138.20
台北市,大安區,龍陣里,1244,2098350,1687,839,382,1878,2801.55,166.09
台北市,大安區,龍圖里,2550,4760011,1867,824,349,1938,3835.64,205.48
台北市,大安區,古莊里,2798,4413090,1577,863,371,1963,2207.98,139.99
台北市,大安區,錦安里,2103,4612709,2193,1042,417,2407,6488.25,295.81
台北市,大安區,大學里,3190,5122365,1606,844,360,1889,2455.85,152.94
台北市,大安區,古風里,1524,3097535,2033,873,400,2018,14258.88,701.54
台北市,大安區,全安里,1557,3030707,1947,907,371,2148,3811.56,195.82
台北市,大安區,黎元里,1731,1552789,897,569,270,1127,1131.01,126.08
台北市,大安區,法治里,1659,2354197,1419,727,308,1541,2483.35,175.00
台北市,大安區,龍泉里,1770,2649296,1497,822,339,1899,1974.06,131.89
台北市,大安區,群英里,2462,3150312,1280,690,293,1642,1775.62,138.77
台北市,大安區,學府里,609,711976,1169,657,307,1509,1363.93,116.67
台北市,中正區,南門里,902,1808916,2005,857,325,1830,7009.13,349.50
台北市,中正區,龍興里,1043,1220132,1170,702,305,1426,1617.44,138.26
台北市,中正區,愛國里,1107,1401879,1266,715,314,1548,1687.94,133.29
台北市,中正區,龍光里,1080,1590683,1473,864,355,1834,2490.90,169.12
台北市,中正區,河堤里,1674,2082755,1244,706,311,1523,1648.83,132.52
台北市,中正區,龍福里,1775,2490286,1403,835,343,1754,1827.25,130.24
台北市,中正區,螢雪里,1386,1804782,1302,610,281,1303,10272.51,788.89
台北市,中正區,永昌里,1437,1227830,854,526,252,1071,1070.34,125.27
台北市,中正區,文盛里,959,1357034,1415,796,318,1755,1878.82,132.77
台北市,中正區,忠勤里,1659,1053443,635,417,202,802,785.47,123.70
台北市,中正區,永功里,2011,2410147,1198,663,298,1398,2664.52,222.32
台北市,中正區,螢圃里,2002,2484500,1241,701,322,1430,1908.09,153.75
台北市,中正區,幸市里,1726,3100231,1796,892,380,2128,2709.33,150.84
台北市,中正區,文祥里,2763,5164727,1869,1045,422,2326,2831.81,151.49
台北市,中正區,黎明里,1121,1550933,1384,791,320,1585,2111.85,152.64
台北市,中正區,建國里,568,1097514,1932,1141,419,2187,3096.55,160.26
台北市,中正區,光復里,1446,2085884,1443,736,331,1604,3805.03,263.78
台北市,中正區,東門里,1337,2593485,1940,1020,413,2228,3542.88,182.64
台北市,中正區,板溪里,1222,1680748,1375,755,321,1613,2443.17,177.63
台北市,中正區,文北里,2147,5596015,2606,1068,415,2465,11610.16,445.44
台北市,中正區,梅花里,1193,2066365,1732,832,349,2055,3971.09,229.27
台北市,中正區,廈安里,1362,1756839,1290,786,332,1569,1603.04,124.28
台北市,中正區,網溪里,2076,2883596,1389,779,339,1631,2150.92,154.85
台北市,中正區,林興里,1730,2641143,1527,810,333,1659,3131.69,205.13
台北市,中正區,幸福里,1787,2844388,1592,839,332,1780,2479.78,155.79
台北市,中正區,水源里,1054,1221005,1158,698,314,1412,1595.23,137.70
台北市,中正區,富水里,765,982314,1284,780,352,1568,1602.84,124.83
台北市,中正區,頂東里,2143,2778179,1296,732,323,1517,2035.04,156.98
台北市,中正區,新營里,2798,5082707,1817,1110,452,2379,2197.80,120.99
台北市,中正區,南福里,3997,7504476,1878,1028,409,2283,3092.15,164.69
台北市,中正區,三愛里,3124,6340643,2030,935,371,2128,13592.93,669.72
台北市,萬華區,柳鄉里,1344,919827,684,428,209,849,806.77,117.88
台北市,萬華區,雙園里,1490,1476884,991,581,264,1216,1247.33,125.84
台北市,萬華區,糖廍里,1617,1472982,911,571,272,1107,1282.64,140.80
台北市,萬華區,西門里,1216,1310640,1078,601,258,1241,1975.83,183.32
台北市,萬華區,仁德里,1730,2123713,1228,694,313,1493,1636.10,133.28
台北市,萬華區,新起里,2541,2999172,1180,687,293,1403,1652.98,140.05
台北市,萬華區,日善里,1141,992304,870,530,249,1066,1242.43,142.86
台北市,萬華區,菜園里,1969,1938861,985,587,271,1192,1371.64,139.30
台北市,萬華區,頂碩里,2127,1865708,877,523,250,1062,1524.23,173.77
台北市,萬華區,福音里,1361,1249742,918,604,266,1184,1070.98,116.63
台北市,萬華區,華中里,1765,1506517,854,516,242,1022,1342.55,157.29
台北市,萬華區,青山里,1674,1588509,949,537,259,1074,1564.80,164.90
台北市,萬華區,新和里,2705,2678311,990,582,271,1186,1382.71,139.65
台北市,萬華區,新安里,1626,1188929,731,441,221,870,946.26,129.41
台北市,萬華區,富民里,1477,1313921,890,544,254,1105,1077.35,121.11
台北市,萬華區,富福里,1455,1440437,990,559,272,1142,1420.52,143.49
台北市,萬華區,綠堤里,1032,643894,624,407,211,763,717.73,115.03
台北市,萬華區,忠貞里,1198,860520,718,455,214,902,852.80,118.73
台北市,萬華區,日祥里,1962,1618272,825,480,216,966,1216.53,147.49
台北市,萬華區,忠德里,1342,1172004,873,538,243,1066,1520.69,174.13
台北市,萬華區,孝德里,1058,891308,842,511,261,976,1074.21,127.51
台北市,萬華區,保德里,954,990440,1038,547,256,1093,2534.43,244.12
台北市,萬華區,全德里,1294,1422411,1099,625,298,1297,1779.64,161.90
台北市,萬華區,興德里,1154,887812,769,497,207,904,1190.05,154.69
台北市,萬華區,壽德里,1480,1360310,919,552,259,1122,1164.80,126.73
台北市,萬華區,凌霄里,1002,731355,730,449,213,933,1087.02,148.93
台北市,萬華區,和平里,1787,1331610,745,477,226,950,1006.11,135.02
台北市,萬華區,騰雲里,953,901516,946,560,277,1074,1492.09,157.73
台北市,萬華區,榮德里,947,698157,737,481,212,921,880.44,119.43
台北市,萬華區,福星里,1641,1644318,1002,546,235,1153,1511.97,150.89
台北市,萬華區,和德里,1607,1190819,741,491,234,904,855.34,115.43
台北市,萬華區,萬壽里,1069,1176557,1101,630,237,1315,1610.56,146.33
台北市,萬華區,銘德里,1347,1124879,835,503,251,982,1386.09,165.98
台北市,萬華區,華江里,2463,1744004,708,477,233,882,817.97,115.52
台北市,萬華區,錦德里,1576,1303111,827,503,247,1020,1118.84,135.31
台北市,萬華區,新忠里,1052,1013735,964,551,264,1154,1311.58,136.11
台北市,大同區,建泰里,1309,1684646,1287,680,321,1396,2482.74,192.91
台北市,大同區,建明里,1292,1409437,1091,602,264,1284,1585.27,145.32
台北市,大同區,雙連里,3000,3357219,1119,651,310,1363,1665.93,148.87
台北市,大同區,建功里,1612,1889400,1172,640,296,1362,1923.38,164.10
台北市,大同區,景星里,670,535189,799,520,240,984,1020.01,127.69
台北市,大同區,星明里,2017,2344608,1162,669,293,1340,1676.92,144.26
台北市,大同區,朝陽里,1585,1755418,1108,617,296,1280,1816.81,164.04
台北市,大同區,大有里,1562,1630325,1044,615,292,1275,1346.44,129.00
台北市,大同區,斯文里,1652,1491834,903,509,237,1097,1256.27,139.11
台北市,大同區,揚雅里,1087,1111887,1023,492,234,1063,3702.55,361.97
台北市,大同區,國順里,923,872276,945,522,230,1078,1731.01,183.17
台北市,大同區,國慶里,1640,1958344,1194,655,305,1436,1880.09,157.45
台北市,大同區,隆和里,1256,1362283,1085,599,278,1379,1395.55,128.67
台北市,大同區,南芳里,1420,1459676,1028,617,285,1355,1203.90,117.12
台北市,大同區,鄰江里,2030,1749904,862,514,242,1054,1207.51,140.08
台北市,大同區,玉泉里,1046,1268346,1213,654,305,1487,1602.69,132.17
台北市,大同區,光能里,1820,2239464,1230,635,310,1314,3205.29,260.49
台北市,大同區,重慶里,2264,2384951,1053,627,280,1331,1661.65,157.74
台北市,大同區,至聖里,2687,2590244,964,552,264,1134,1463.59,151.83
台北市,大同區,老師里,1781,1503294,844,539,260,1035,1102.50,130.62
台北市,大同區,蓬萊里,1802,2126784,1180,588,274,1365,1926.61,163.24
台北市,大同區,民權里,2278,2951437,1296,722,323,1612,1766.24,136.32
台北市,大同區,延平里,1320,1218431,923,542,241,1151,1173.05,127.08
台北市,大同區,永樂里,1877,2461546,1311,653,275,1439,2301.31,175.48
台北市,大同區,保安里,1532,1444649,943,548,254,1073,1499.76,159.04
台北市,中山區,聚盛里,1426,1371326,962,530,236,1168,1408.53,146.47
台北市,中山區,大佳里,217,178337,822,490,260,940,1004.92,122.28
台北市,中山區,恆安里,1991,2995268,1504,772,314,1634,4083.76,271.45
台北市,中山區,集英里,2556,3355531,1313,688,310,1523,2797.74,213.11
台北市,中山區,正守里,1266,1645177,1300,773,339,1562,1757.40,135.24
台北市,中山區,正義里,1868,1821741,975,577,269,1188,1426.31,146.25
台北市,中山區,新生里,1557,1701344,1093,609,283,1278,2030.01,185.78
台北市,中山區,松江里,2289,5056354,2209,718,319,1571,35145.94,1591.05
台北市,中山區,江山里,2768,3502693,1265,689,309,1466,2073.44,163.85
台北市,中山區,中山里,2840,3313464,1167,655,287,1340,1827.27,156.62
台北市,中山區,成功里,2585,6569922,2542,1099,441,2559,9126.67,359.10
台北市,中山區,下埤里,2725,3103889,1139,645,300,1352,1664.51,146.13
台北市,中山區,中原里,1877,2514485,1340,696,321,1528,2165.32,161.64
台北市,中山區,新庄里,1605,1342923,837,513,236,1035,1088.75,130.12
