縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
台北市,松山區,中崙里,1381,1652162,1196,794,418,1454,1529.70,127.86
台北市,松山區,自強里,3033,3599158,1187,798,429,1477,1838.02,154.89
台北市,松山區,鵬程里,1786,2231570,1249,785,411,1580,1681.91,134.61
台北市,松山區,東榮里,3116,6353602,2039,929,460,1979,10362.64,508.22
台北市,松山區,介壽里,1601,2468082,1542,904,467,1877,2468.01,160.10
台北市,松山區,東勢里,1600,2645567,1653,779,412,1543,9526.39,576.14
台北市,松山區,東光里,2648,3495679,1320,790,403,1550,1899.97,143.92
台北市,松山區,中正里,3255,6432408,1976,1011,494,2000,8990.49,454.95
台北市,松山區,復盛里,2190,2614442,1194,744,424,1339,2311.16,193.60
台北市,松山區,復勢里,2201,2769284,1258,798,426,1534,1544.94,122.79
台北市,松山區,美仁里,1191,1713468,1439,894,465,1711,2388.77,166.04
台北市,松山區,吉仁里,1409,1858276,1319,773,414,1575,3432.31,260.25
台北市,松山區,精忠里,1591,15768349,9911,960,473,1925,313729.53,3165.48
台北市,松山區,東昌里,1091,10568807,9687,967,496,1907,230823.61,2382.75
台北市,松山區,福成里,966,1715256,1776,937,451,1938,2991.12,168.45
台北市,松山區,中華里,2273,5228603,2300,1066,506,2203,14468.74,628.99
台北市,松山區,吉祥里,3075,3848620,1252,800,430,1503,1609.99,128.64
台北市,松山區,新東里,1815,1978906,1090,728,410,1339,1413.75,129.67
台北市,松山區,三民里,2541,3767716,1483,795,432,1597,3572.86,240.96
台北市,松山區,復建里,1505,1875423,1246,836,448,1536,1312.43,105.32
台北市,松山區,敦化里,2497,3405933,1364,855,444,1637,1871.70,137.22
台北市,松山區,安平里,2603,2503563,962,657,384,1172,1142.06,118.74
台北市,松山區,富錦里,1825,2410763,1321,773,408,1469,2535.54,191.95
台北市,松山區,莊敬里,1684,1491060,885,629,387,1120,841.20,95.00
台北市,松山區,新益里,1571,1668659,1062,702,391,1323,1218.68,114.74
台北市,松山區,富泰里,1639,1958070,1195,813,438,1521,1349.22,112.94
台北市,松山區,龍田里,3240,4841602,1494,970,500,1793,4793.77,320.80
台北市,松山區,慈祐里,2020,1813285,898,588,344,1050,1343.83,149.70
台北市,松山區,復源里,1059,1205142,1138,759,415,1469,1192.67,104.80
台北市,松山區,民福里,2182,2394605,1097,725,388,1356,1500.60,136.74
台北市,松山區,松基里,1410,2341327,1661,821,421,1705,3830.62,230.69
台北市,松山區,新聚里,2774,3479813,1254,718,405,1317,6490.33,517.39
台北市,松山區,民有里,3404,6368906,1871,885,435,1837,6723.79,359.37
台北市,大安區,建安里,2035,3485612,1713,860,435,1811,3646.34,212.88
台北市,大安區,通安里,1898,2141867,1128,686,380,1324,1473.25,130.55
台北市,大安區,民輝里,2628,6684466,2544,899,441,2142,10396.28,408.73
台北市,大安區,德安里,2123,4626884,2179,928,466,1936,8270.29,379.47
台北市,大安區,敦安里,2404,5134820,2136,991,488,2082,5127.72,240.07
台北市,大安區,光明里,1226,2171462,1771,863,405,1878,5055.59,285.44
台北市,大安區,永康里,1236,1864315,1508,883,430,1808,2418.51,160.34
台北市,大安區,福住里,2183,4463769,2045,1001,483,2072,7829.33,382.89
台北市,大安區,仁愛里,2329,7623750,3273,1040,475,2319,20948.04,639.95
台北市,大安區,義村里,2245,2788150,1242,760,413,1489,1702.34,137.07
台北市,大安區,臥龍里,730,1161434,1591,770,398,1551,6047.33,380.09
台北市,大安區,通化里,1895,1946790,1027,672,363,1224,2017.72,196.40
台北市,大安區,龍生里,2261,3575013,1581,993,503,1977,1910.46,120.83
台北市,大安區,新龍里,2236,3220797,1440,892,448,1763,2663.85,184.93
台北市,大安區,住安里,1707,2527601,1481,770,416,1430,3811.86,257.43
台北市,大安區,錦泰里,1624,2636362,1623,888,445,1936,5165.25,318.18
台北市,大安區,建倫里,2440,4943863,2026,963,464,2094,4871.65,240.44
台北市,大安區,錦華里,1861,3043047,1635,999,461,1941,3790.15,231.79
台北市,大安區,光武里,2991,5035167,1683,810,405,1641,7110.60,422.39
台北市,大安區,仁慈里,1962,4271528,2177,1030,496,2200,6360.04,292.13
台北市,大安區,黎孝里,2572,2760232,1073,691,390,1336,1704.56,158.83
台北市,大安區,民炤里,3118,6781227,2175,950,452,2025,7526.51,346.07
台北市,大安區,昌隆里,1274,1898438,1490,874,432,1793,1931.10,129.59
台北市,大安區,黎和里,1478,1558797,1055,714,409,1313,1124.63,106.63
台北市,大安區,龍雲里,1824,4497079,2466,915,434,1952,16953.91,687.64
台北市,大安區,芳和里,1982,2287359,1154,705,397,1317,2853.85,247.29
台北市,大安區,龍安里,2157,4416684,2048,1124,510,2224,5507.32,268.96
台北市,大安區,義安里,2072,5670946,2737,989,457,2216,13627.40,497.91
台北市,大安區,虎嘯里,1371,1960755,1430,839,441,1606,2064.69,144.37
台北市,大安區,龍淵里,3066,4907418,1601,943,491,1921,3664.33,228.94
台北市,大安區,龍坡里,2109,3480184,1650,1039,504,2055,2403.18,145.63
台北市,大安區,龍門里,1559,3117242,2000,1090,499,2203,3803.63,190.23
台北市,大安區,敦煌里,2349,4186426,1782,930,465,1833,4428.34,248.47
台北市,大安區,群賢里,2215,3712700,1676,903,447,1790,3738.28,223.03
台北市,大安區,車層里,2605,4788536,1838,906,441,1866,4470.78,243.21
台北市,大安區,光信里,2811,4723518,1680,840,440,1742,5353.44,318.59
台北市,大安區,和安里,2383,7421201,3114,1050,488,2122,26671.74,856.45
台北市,大安區,正聲里,1870,3440167,1840,906,441,1934,4836.10,262.88
台北市,大安區,誠安里,1600,1826687,1142,759,384,1366,1419.94,124.37
台北市,大安區,華聲里,1593,2227024,1398,835,424,1732,1734.33,124.06
台北市,大安區,臨江里,1247,1144099,917,642,342,1159,907.56,98.92
台北市,大安區,龍陣里,1283,1841801,1436,861,431,1733,2767.76,192.80
台北市,大安區,龍圖里,2511,4154326,1654,875,449,1819,3596.15,217.36
台北市,大安區,古莊里,2381,3355345,1409,874,449,1749,2227.53,158.07
台北市,大安區,錦安里,1967,3926061,1996,1077,481,2227,4163.89,208.62
台北市,大安區,大學里,3139,4909693,1564,887,466,1856,2693.67,172.22
台北市,大安區,古風里,1526,2627808,1722,916,443,1814,4480.39,260.18
台北市,大安區,全安里,1753,3627308,2069,846,433,1812,6552.74,316.68
台北市,大安區,黎元里,1643,1347463,820,605,363,1038,760.65,92.75
台北市,大安區,法治里,1529,2046486,1338,776,417,1569,2040.50,152.45
台北市,大安區,龍泉里,1573,2225814,1415,851,450,1705,2115.39,149.50
台北市,大安區,群英里,2386,2977853,1248,819,432,1610,1799.99,144.22
台北市,大安區,A0257,836,1089453,1303,747,394,1740,1382.37,106.08
台北市,中正區,南門里,932,1155136,1239,805,406,1661,1336.50,107.83
台北市,中正區,龍興里,1114,1165423,1046,665,395,1348,1685.48,161.11
台北市,中正區,愛國里,1077,1488092,1382,788,430,1573,3259.25,235.89
台北市,中正區,龍光里,1171,1573378,1344,859,470,1724,1516.28,112.85
台北市,中正區,河堤里,1647,1974901,1199,762,415,1465,1752.72,146.17
台北市,中正區,龍福里,2062,2797385,1357,908,465,1656,2049.20,151.05
台北市,中正區,螢雪里,1420,1438002,1013,683,392,1232,1376.20,135.90
台北市,中正區,永昌里,1437,1175164,818,561,339,1025,914.33,111.81
台北市,中正區,文盛里,969,1282663,1324,862,442,1620,1511.15,114.16
台北市,中正區,忠勤里,1600,1065883,666,532,325,836,556.71,83.57
台北市,中正區,永功里,1989,2022713,1017,662,381,1268,1128.44,110.96
台北市,中正區,螢圃里,1826,1950998,1068,670,397,1285,1584.55,148.30
台北市,中正區,幸市里,1757,4149081,2361,923,439,1926,8559.48,362.47
台北市,中正區,文祥里,2491,3980368,1598,959,471,1988,3044.49,190.53
台北市,中正區,黎明里,1058,1531264,1447,812,410,1612,3031.56,209.46
台北市,中正區,建國里,419,801377,1913,917,384,1842,4868.96,254.57
台北市,中正區,光復里,1253,2672219,2133,722,375,1412,17553.52,823.08
台北市,中正區,東門里,1430,9662282,6757,897,435,1893,188712.02,2792.90
台北市,中正區,板溪里,1168,1261134,1080,708,399,1336,1207.02,111.79
台北市,中正區,文北里,2028,4239471,2090,940,461,2048,6239.09,298.45
台北市,中正區,梅花里,1248,1864930,1494,844,429,1666,3070.86,205.50
台北市,中正區,廈安里,1172,1304877,1113,717,387,1380,1503.45,135.04
台北市,中正區,網溪里,1892,2198545,1162,736,382,1454,1393.39,119.91
台北市,中正區,林興里,1514,1868387,1234,781,406,1484,1561.34,126.52
