縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
台北市,松山區,中崙里,1280,1347422,1053,718,396,1298,1141.82,108.47
台北市,松山區,自強里,2522,2832594,1123,781,424,1442,1495.48,133.15
台北市,松山區,鵬程里,1778,2085128,1173,776,403,1474,1652.22,140.89
台北市,松山區,東榮里,3081,5806435,1885,883,411,1800,9515.94,504.93
台北市,松山區,介壽里,1558,2054385,1319,792,399,1598,1729.31,131.15
台北市,松山區,東勢里,1471,1777130,1208,714,388,1382,1852.59,153.35
台北市,松山區,東光里,2620,3058897,1168,710,376,1405,2006.36,171.85
台北市,松山區,中正里,2931,4492091,1533,865,437,1752,2603.14,169.85
台北市,松山區,復盛里,2139,2156088,1008,702,379,1274,1081.28,107.27
台北市,松山區,復勢里,2084,2251233,1080,712,375,1362,1222.90,113.21
台北市,松山區,美仁里,1190,1407614,1183,747,405,1460,1402.56,118.57
台北市,松山區,吉仁里,1297,1488394,1148,716,379,1434,1484.91,129.40
台北市,松山區,精忠里,1532,4319078,2819,830,421,1657,51057.53,1811.04
台北市,松山區,東昌里,1143,4176518,3654,840,422,1665,63304.76,1732.48
台北市,松山區,福成里,917,1316592,1436,846,437,1638,1972.94,137.41
台北市,松山區,中華里,2077,3572070,1720,998,474,1980,2781.67,161.74
台北市,松山區,吉祥里,2948,3522061,1195,737,401,1417,1872.27,156.71
台北市,松山區,新東里,1671,1652385,989,692,382,1267,1026.28,103.78
台北市,松山區,三民里,2597,3236353,1246,748,409,1454,2067.99,165.95
台北市,松山區,復建里,1256,1402263,1116,742,405,1387,1229.72,110.15
台北市,松山區,敦化里,2346,2953049,1259,766,425,1468,2337.07,185.66
台北市,松山區,安平里,2570,2242125,872,599,361,1082,963.68,110.46
台北市,松山區,富錦里,1842,2196260,1192,702,374,1430,1853.87,155.48
台北市,松山區,莊敬里,1698,1451014,855,593,367,1004,1055.37,123.50
台北市,松山區,新益里,1525,1471568,965,657,362,1228,1089.14,112.87
台北市,松山區,富泰里,1621,1847106,1139,755,421,1437,1457.08,127.87
台北市,松山區,龍田里,3029,3544135,1170,840,453,1523,1184.86,101.26
台北市,松山區,慈祐里,1773,1416087,799,554,329,927,963.56,120.64
台北市,松山區,復源里,992,995556,1004,673,378,1255,1095.03,109.11
台北市,松山區,民福里,2167,2218592,1024,651,374,1240,1651.97,161.36
台北市,松山區,松基里,1386,2167160,1564,846,373,1579,3479.62,222.54
台北市,松山區,新聚里,2589,2680160,1035,681,385,1199,1998.18,193.02
台北市,松山區,民有里,3360,5464042,1626,808,417,1675,4468.54,274.78
台北市,大安區,建安里,2048,3232102,1578,804,390,1625,3416.78,216.50
台北市,大安區,通安里,1806,1877145,1039,627,353,1220,1670.05,160.68
台北市,大安區,民輝里,2405,4287708,1783,841,390,1729,6548.55,367.31
台北市,大安區,德安里,2075,3762724,1813,819,406,1683,7323.16,403.84
台北市,大安區,敦安里,2467,4599606,1864,906,447,1845,5468.70,293.31
台北市,大安區,光明里,1195,1863625,1560,779,381,1570,6178.99,396.21
台北市,大安區,永康里,1140,1496711,1313,777,386,1654,2403.79,183.09
台北市,大安區,福住里,1990,3217464,1617,896,437,1785,4032.10,249.39
台北市,大安區,仁愛里,2366,6380506,2697,918,407,2041,19631.38,727.96
台北市,大安區,義村里,2235,2560542,1146,723,380,1353,1726.44,150.69
台北市,大安區,臥龍里,703,932733,1327,697,376,1317,4016.22,302.70
台北市,大安區,通化里,1866,1670122,895,612,354,1138,1148.73,128.35
台北市,大安區,龍生里,2190,2911801,1330,870,453,1776,1534.03,115.38
台北市,大安區,新龍里,2205,2844815,1290,863,439,1607,2901.90,224.92
台北市,大安區,住安里,1704,3177570,1865,691,378,1353,25383.69,1361.22
台北市,大安區,錦泰里,1621,2189675,1351,849,441,1724,3082.46,228.19
台北市,大安區,建倫里,2410,4132594,1715,862,416,1859,3600.80,209.99
台北市,大安區,錦華里,1765,2463946,1396,885,450,1752,2362.47,169.23
台北市,大安區,光武里,2929,4081858,1394,735,373,1483,3866.44,277.44
台北市,大安區,仁慈里,1867,3108035,1665,868,429,1811,3812.71,229.03
台北市,大安區,黎孝里,2494,2465848,989,655,382,1229,1426.23,144.25
台北市,大安區,民炤里,2943,5243622,1782,869,410,1766,4991.57,280.15
台北市,大安區,昌隆里,1277,1607983,1259,758,379,1501,1549.76,123.08
台北市,大安區,黎和里,1323,1239766,937,664,386,1178,1026.99,109.59
台北市,大安區,龍雲里,1846,3463807,1876,806,393,1660,8718.30,464.63
台北市,大安區,青？里,29,27424,946,454,284,846,1077.22,113.91
台北市,大安區,芳和里,1890,1865355,987,649,360,1237,1434.63,145.36
台北市,大安區,龍安里,2060,3534268,1716,952,446,1966,4403.62,256.67
台北市,大安區,義安里,2024,5169170,2554,928,448,2146,11599.82,454.19
台北市,大安區,虎嘯里,1269,1753190,1382,784,418,1509,3160.51,228.77
台北市,大安區,龍淵里,3014,4071714,1351,846,445,1701,2528.81,187.19
台北市,大安區,龍坡里,1957,2949552,1507,969,474,1906,1926.67,127.83
台北市,大安區,龍門里,1531,2877412,1879,1017,487,2092,4220.07,224.54
台北市,大安區,敦煌里,2323,3762694,1620,888,434,1811,3671.64,226.68
台北市,大安區,？賢里,2123,3189649,1502,818,417,1647,4722.03,314.29
台北市,大安區,車層里,2524,4060036,1609,821,397,1700,5291.22,328.94
台北市,大安區,光信里,2774,4148605,1496,802,409,1562,4460.36,298.25
台北市,大安區,和安里,2227,5789092,2600,951,426,1805,24047.13,925.07
台北市,大安區,正聲里,1880,3022476,1608,839,410,1696,4064.35,252.81
台北市,大安區,誠安里,1592,1732053,1088,705,382,1307,1574.52,144.72
台北市,大安區,華聲里,1582,2157870,1364,787,422,1582,2714.95,199.04
台北市,大安區,臨江里,1232,1043923,847,602,353,1065,899.70,106.18
台北市,大安區,龍陣里,1276,1537829,1205,756,385,1576,1515.17,125.72
台北市,大安區,龍圖里,2395,3432872,1433,789,402,1615,3100.01,216.28
台北市,大安區,古莊里,2202,2740386,1244,801,401,1591,1782.72,143.25
台北市,大安區,錦安里,1765,2755446,1561,901,439,1841,2236.70,143.27
台北市,大安區,大學里,3198,4469724,1398,838,418,1726,2188.44,156.58
台北市,大安區,古風里,1423,2088177,1467,879,415,1760,2344.76,159.78
台北市,大安區,全安里,1677,2929466,1747,824,417,1719,5945.21,340.34
台北市,大安區,農場里,48,35371,737,609,320,844,629.67,85.45
台北市,大安區,黎元里,1616,1231982,762,570,357,951,656.54,86.12
台北市,大安區,法治里,1484,1817375,1225,747,411,1455,1609.64,131.44
台北市,大安區,龍泉里,1494,1893286,1267,826,402,1626,1520.93,120.02
台北市,大安區,？英里,2326,2606883,1121,822,431,1529,1026.78,91.61
台北市,中正區,南門里,901,998495,1108,727,373,1482,1144.24,103.25
台北市,中正區,龍興里,1066,1067449,1001,657,375,1238,1551.59,154.95
台北市,中正區,愛國里,990,1130468,1142,682,378,1438,1633.02,143.01
台北市,中正區,龍光里,1160,1378102,1188,785,407,1458,1826.89,153.78
台北市,中正區,河堤里,1646,1714899,1042,764,380,1318,1036.11,99.45
台北市,中正區,龍福里,1987,2420071,1218,837,421,1556,1648.41,135.34
台北市,中正區,螢雪里,1392,1226222,881,598,349,1120,1110.63,126.08
台北市,中正區,永昌里,1495,1149905,769,552,327,931,777.40,101.07
台北市,中正區,文盛里,936,1065116,1138,731,375,1469,1207.66,106.13
台北市,中正區,忠勤里,1598,1036029,648,492,308,794,568.77,87.73
台北市,中正區,永功里,1856,1709465,921,625,363,1142,1019.43,110.68
台北市,中正區,螢圃里,1795,1738484,969,621,345,1186,1536.03,158.60
台北市,中正區,幸市里,1680,2965868,1765,808,407,1658,5239.14,296.77
台北市,中正區,文祥里,2362,3333944,1411,809,418,1711,2430.70,172.21
台北市,中正區,黎明里,1016,1408077,1386,693,362,1377,2916.21,210.42
台北市,中正區,建國里,433,769422,1777,753,382,1566,4659.20,262.20
台北市,中正區,光復里,1202,2444474,2034,669,370,1328,22552.29,1108.94
台北市,中正區,東門里,1387,3988268,2875,855,434,1628,53814.01,1871.49
台北市,中正區,板溪里,1107,1017333,919,618,338,1173,949.14,103.28
台北市,中正區,文北里,2012,3245528,1613,869,421,1784,3722.07,230.74
台北市,中正區,梅花里,1213,1543714,1273,707,377,1382,2346.65,184.39
台北市,中正區,廈安里,1107,979121,884,617,372,1197,811.83,91.79
台北市,中正區,網溪里,1809,2118860,1171,695,381,1380,2516.71,214.87
台北市,中正區,林興里,1512,1685613,1115,715,384,1345,1334.91,119.74
台北市,中正區,幸福里,1553,1928168,1242,734,383,1404,2457.12,197.90
台北市,中正區,水源里,975,994639,1020,658,360,1265,1407.48,137.97
台北市,中正區,富水里,820,909013,1109,683,356,1362,1197.24,108.00
台北市,中正區,頂東里,1964,2096937,1068,657,371,1263,3115.73,291.82
台北市,中正區,新營里,2639,3614930,1370,895,443,1772,1685.18,123.02
台北市,中正區,南福里,2557,3112236,1217,791,430,1507,1437.68,118.12
台北市,中正區,三愛里,2760,3891205,1410,759,376,1585,8657.05,614.04
台北市,萬華區,柳鄉里,1265,819079,647,481,298,786,647.58,100.01
台北市,萬華區,雙園里,1245,955680,768,517,307,882,1094.20,142.55
