縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
台北市,松山區,中崙里,1365,1489941,1092,739,400,1386,1312.29,120.23
台北市,松山區,自強里,2753,3205762,1164,804,427,1493,1705.99,146.50
台北市,松山區,鵬程里,1780,2158430,1213,788,410,1585,1493.80,123.19
台北市,松山區,東榮里,3048,6444670,2114,863,443,1841,16412.59,776.23
台北市,松山區,介壽里,1616,2284410,1414,846,447,1687,1935.98,136.95
台北市,松山區,東勢里,1542,2542595,1649,789,426,1522,11704.82,709.86
台北市,松山區,東光里,2597,3217945,1239,768,400,1515,1696.44,136.91
台北市,松山區,中正里,3093,4930940,1594,894,451,1786,2711.23,170.07
台北市,松山區,復盛里,2168,2277545,1051,716,396,1315,1204.85,114.69
台北市,松山區,復勢里,2145,2566867,1197,772,414,1458,1447.89,120.99
台北市,松山區,美仁里,1182,1504911,1273,805,438,1573,1734.40,136.22
台北市,松山區,吉仁里,1372,1673585,1220,742,398,1503,1898.36,155.63
台北市,松山區,精忠里,1575,3870235,2457,860,458,1797,31629.91,1287.19
台北市,松山區,東昌里,1105,4011862,3631,940,465,1781,46993.10,1294.35
台北市,松山區,福成里,955,1565097,1639,867,439,1748,2736.23,166.96
台北市,松山區,中華里,2145,3922227,1829,1056,490,2108,3978.38,217.57
台北市,松山區,吉祥里,3014,3636722,1207,766,421,1480,1453.49,120.46
台北市,松山區,新東里,1757,1808502,1029,721,407,1303,1110.80,107.92
台北市,松山區,三民里,2646,3439665,1300,773,407,1518,2562.65,197.13
台北市,松山區,復建里,1383,1645537,1190,788,434,1451,1338.99,112.54
台北市,松山區,敦化里,2433,3202597,1316,816,433,1516,2176.98,165.38
台北市,松山區,安平里,2614,2384810,912,634,364,1145,924.98,101.39
台北市,松山區,富錦里,1842,2342139,1272,727,383,1461,2331.78,183.39
台北市,松山區,莊敬里,1665,1404009,843,616,370,1079,766.07,90.85
台北市,松山區,新益里,1514,1528363,1009,695,379,1260,1141.77,113.10
台北市,松山區,富泰里,1654,1883518,1139,766,420,1455,1660.69,145.83
台北市,松山區,龍田里,3199,4097918,1281,911,482,1667,1582.84,123.56
台北市,松山區,慈祐里,1808,1476862,817,542,316,962,1024.63,125.44
台北市,松山區,復源里,1034,1141400,1104,733,416,1392,1416.60,128.33
台北市,松山區,民福里,2120,2257617,1065,691,390,1287,1639.50,153.96
台北市,松山區,松基里,1408,2187592,1554,770,378,1649,3600.46,231.74
台北市,松山區,新聚里,2724,2872059,1054,702,400,1229,1600.86,151.83
台北市,松山區,民有里,3379,5838249,1728,893,449,1766,4868.53,281.78
台北市,大安區,建安里,2042,3227007,1580,829,425,1743,3192.56,202.02
台北市,大安區,通安里,1860,2017065,1084,658,369,1284,1505.17,138.80
台北市,大安區,民輝里,2512,6281025,2500,865,415,1982,13833.18,553.24
台北市,大安區,德安里,2102,4058202,1931,911,440,1821,6854.43,355.03
台北市,大安區,敦安里,2432,4918043,2022,944,461,2037,6825.30,337.51
台北市,大安區,光明里,1210,2034297,1681,809,407,1703,5650.48,336.09
台北市,大安區,永康里,1161,1596233,1375,826,409,1652,2319.73,168.72
台北市,大安區,福住里,2086,3461258,1659,929,463,1930,3592.65,216.52
台北市,大安區,仁愛里,2354,6557522,2786,978,451,2230,16283.98,584.56
台北市,大安區,義村里,2237,2643202,1182,728,389,1448,1555.13,131.61
台北市,大安區,臥龍里,743,990726,1333,760,402,1478,3799.75,284.96
台北市,大安區,通化里,1890,1800047,952,646,353,1189,1311.51,137.70
台北市,大安區,龍生里,2217,3191568,1440,908,452,1864,1794.34,124.64
台北市,大安區,新龍里,2216,3049816,1376,871,448,1700,3029.84,220.15
台北市,大安區,住安里,1700,2221522,1307,716,390,1359,2854.15,218.41
台北市,大安區,錦泰里,1644,2275483,1384,903,431,1847,2412.46,174.30
台北市,大安區,建倫里,2463,5262395,2137,887,435,1918,9759.92,456.80
台北市,大安區,錦華里,1797,2555217,1422,928,457,1776,2382.23,167.53
台北市,大安區,光武里,2981,4269438,1432,753,392,1516,3364.62,234.92
台北市,大安區,仁慈里,1893,3676787,1942,969,472,1991,4689.73,241.45
台北市,大安區,黎孝里,2483,2497110,1006,676,386,1279,1191.37,118.46
台北市,大安區,民炤里,2976,5679508,1908,901,423,1917,5430.72,284.56
