縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
台北市,松山區,中崙里,1436,1918734,1336,736,311,1598,2174.96,162.78
台北市,松山區,自強里,2957,3976870,1345,614,252,1488,3890.96,289.31
台北市,松山區,鵬程里,1777,1984486,1117,552,250,1295,1893.88,169.59
台北市,松山區,東榮里,2826,4408185,1560,728,293,1853,3307.34,212.03
台北市,松山區,介壽里,1455,1992855,1370,763,280,1578,2185.33,159.55
台北市,松山區,東勢里,1534,1950139,1271,639,260,1484,2088.95,164.32
台北市,松山區,東光里,2466,2844396,1153,597,248,1322,2118.28,183.65
台北市,松山區,中正里,3422,5354696,1565,844,346,1899,2400.45,153.40
台北市,松山區,復盛里,2167,1997340,922,546,227,1141,1168.61,126.79
台北市,松山區,復勢里,2283,2771054,1214,660,289,1441,1857.49,153.03
台北市,松山區,美仁里,1220,1622597,1330,694,298,1574,1896.91,142.63
台北市,松山區,吉仁里,1373,1693754,1234,650,279,1479,1741.00,141.13
台北市,松山區,精忠里,1562,2305085,1476,768,285,1619,4346.19,294.51
台北市,松山區,東昌里,929,1268506,1365,714,268,1607,2761.42,202.23
台北市,松山區,福成里,910,1387488,1525,747,282,1753,2667.99,174.98
台北市,松山區,中華里,2259,3995493,1769,800,328,1883,6634.00,375.08
台北市,松山區,吉祥里,2997,3357543,1120,607,269,1333,1825.51,162.95
台北市,松山區,新東里,1714,1755180,1024,587,248,1282,1407.88,137.48
台北市,松山區,三民里,2389,2804354,1174,631,253,1360,1865.89,158.95
台北市,松山區,復建里,1598,2083372,1304,700,290,1626,1728.21,132.56
台北市,松山區,敦化里,2385,3010124,1262,695,307,1585,1834.74,145.37
台北市,松山區,安平里,2909,2625171,902,531,232,1068,1447.99,160.45
台北市,松山區,富錦里,1770,2008151,1135,614,265,1354,1629.25,143.60
台北市,松山區,莊敬里,1597,1385091,867,555,251,1117,1164.72,134.29
台北市,松山區,新益里,1607,1533912,955,549,243,1208,1426.22,149.42
台北市,松山區,富泰里,1612,1867187,1158,659,267,1446,1915.46,165.37
台北市,松山區,龍田里,3586,5316923,1483,855,348,1952,2020.28,136.26
台北市,松山區,慈祐里,2474,2212902,894,490,208,1075,2030.42,227.00
台北市,松山區,復源里,1125,1487160,1322,686,288,1529,2412.59,182.51
台北市,松山區,民福里,2135,2069749,969,526,244,1080,1865.13,192.39
台北市,松山區,松基里,1356,3097321,2284,634,288,1531,23689.75,1037.13
台北市,松山區,新聚里,2809,2958966,1053,579,251,1215,2326.12,220.82
台北市,松山區,民有里,3372,5010118,1486,679,275,1600,4226.77,284.48
台北市,大安區,建安里,1807,2565432,1420,704,282,1633,2665.38,187.74
台北市,大安區,通安里,1869,2126581,1138,567,231,1252,2260.46,198.67
台北市,大安區,民輝里,2518,4320837,1716,725,288,1798,3665.59,213.61
台北市,大安區,德安里,2015,3104919,1541,688,270,1725,3191.38,207.11
台北市,大安區,敦安里,2282,3984291,1746,805,336,1967,3466.17,198.52
台北市,大安區,光明里,1324,2275869,1719,924,351,2040,3728.02,216.88
台北市,大安區,永康里,1267,1855311,1464,785,321,1686,3132.98,213.95
台北市,大安區,福住里,2256,3735667,1656,839,341,1906,3122.88,188.59
台北市,大安區,仁愛里,1936,3867173,1998,857,327,2068,5511.28,275.91
台北市,大安區,義村里,2021,3100197,1534,570,224,1342,18023.29,1174.93
台北市,大安區,臥龍里,750,1207556,1610,760,286,1761,2753.74,171.03
台北市,大安區,通化里,2080,2108344,1014,557,244,1190,1584.94,156.36
台北市,大安區,龍生里,2379,3816736,1604,801,310,1843,3358.52,209.34
台北市,大安區,新龍里,2356,3354475,1424,762,283,1807,2179.88,153.10
台北市,大安區,住安里,1748,2053134,1175,585,243,1276,2197.12,187.06
台北市,大安區,錦泰里,1342,2031831,1514,868,303,1887,2094.48,138.34
台北市,大安區,建倫里,2233,3931916,1761,805,296,1867,4829.52,274.28
台北市,大安區,錦華里,2089,3205151,1534,906,357,1975,2047.30,133.44
台北市,大安區,光武里,2677,3379740,1263,651,256,1401,2924.95,231.68
台北市,大安區,仁慈里,1912,3176678,1661,819,319,2028,2870.94,172.80
台北市,大安區,黎孝里,2626,2377051,905,544,254,1151,1087.41,120.13
台北市,大安區,民炤里,3019,5502355,1823,859,325,1996,9051.03,496.61
台北市,大安區,昌隆里,1208,1774852,1469,729,284,1623,2900.31,197.40
台北市,大安區,黎和里,1660,1807475,1089,629,260,1304,1439.38,132.19
台北市,大安區,龍雲里,1728,2536211,1468,663,284,1568,3587.06,244.40
台北市,大安區,芳和里,1916,2001391,1045,568,233,1250,1675.03,160.36
台北市,大安區,龍安里,2373,4450660,1876,834,299,2021,6544.96,348.96
台北市,大安區,義安里,2046,3439100,1681,766,280,1834,2979.64,177.27
台北市,大安區,虎嘯里,1412,2028133,1436,718,285,1655,2297.49,159.95
台北市,大安區,龍淵里,3158,4400675,1394,802,318,1754,1889.54,135.60
台北市,大安區,龍坡里,2006,2963274,1477,782,295,1862,2209.83,149.60
台北市,大安區,龍門里,1534,2714215,1769,897,359,2027,3398.55,192.08
台北市,大安區,敦煌里,2188,3336119,1525,785,307,1738,2326.77,152.60
台北市,大安區,群賢里,2057,2874485,1397,630,254,1438,6244.72,446.88
台北市,大安區,車層里,2301,3362857,1461,733,271,1637,2462.04,168.46
台北市,大安區,光信里,2620,3732344,1425,705,300,1575,3034.80,213.03
台北市,大安區,和安里,2318,4100577,1769,825,313,1941,6206.62,350.85
台北市,大安區,正聲里,1712,2570659,1502,680,278,1585,3527.15,234.90
台北市,大安區,誠安里,1460,1620841,1110,600,245,1358,1579.02,142.23
台北市,大安區,華聲里,1484,2145096,1445,665,260,1483,7498.03,518.72
台北市,大安區,臨江里,1305,1115888,855,508,228,1041,1205.18,140.94
台北市,大安區,龍陣里,1299,1780887,1371,674,285,1504,2532.48,184.72
台北市,大安區,龍圖里,2503,3786329,1513,689,277,1600,2813.41,185.98
台北市,大安區,古莊里,2685,3537187,1317,697,278,1613,2044.56,155.20
台北市,大安區,錦安里,2112,3632527,1720,874,353,1955,3147.35,182.99
台北市,大安區,大學里,3091,4184995,1354,694,275,1600,2325.29,171.74
台北市,大安區,古風里,1528,2090269,1368,720,296,1609,2246.20,164.20
台北市,大安區,全安里,1610,2826194,1755,713,289,1783,4832.22,275.28
台北市,大安區,黎元里,1719,1336151,777,510,235,992,947.67,121.92
