縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
台北市,松山區,中崙里,1441,2028162,1407,859,441,1654,2219.18,157.67
台北市,松山區,自強里,3164,4316374,1364,833,412,1634,2762.43,202.49
台北市,松山區,鵬程里,1813,2214261,1221,744,398,1524,1796.59,147.10
台北市,松山區,東榮里,2924,5328058,1822,907,430,1976,4543.64,249.35
台北市,松山區,介壽里,1574,2710878,1722,889,434,1897,6483.89,376.47
台北市,松山區,東勢里,1611,2454656,1524,787,387,1616,6483.63,425.52
台北市,松山區,東光里,2625,3440834,1311,764,385,1538,2162.08,164.94
台北市,松山區,中正里,3499,6212481,1776,986,475,2008,3531.77,198.92
台北市,松山區,復盛里,2288,2565786,1121,714,374,1330,2551.58,227.53
台北市,松山區,復勢里,2328,2957032,1270,784,400,1556,1636.56,128.84
台北市,松山區,美仁里,1250,1803894,1443,842,403,1742,1963.80,136.08
台北市,松山區,吉仁里,1415,1902463,1344,783,400,1596,2486.97,184.97
台北市,松山區,精忠里,1569,3383916,2157,951,449,1926,11071.83,513.36
台北市,松山區,東昌里,933,6609250,7084,916,425,1846,78187.31,1103.74
台北市,松山區,福成里,953,1619159,1699,879,398,1948,3018.98,177.69
台北市,松山區,中華里,2345,4774042,2036,954,461,2083,8130.04,399.35
台北市,松山區,吉祥里,3204,4119774,1286,762,403,1530,3128.89,243.34
台北市,松山區,新東里,1750,2027171,1158,775,400,1433,1379.72,119.11
台北市,松山區,三民里,2515,3467027,1379,795,394,1559,3374.49,244.79
台北市,松山區,復建里,1624,2145202,1321,869,438,1677,1433.08,108.49
台北市,松山區,敦化里,2528,4037619,1597,870,446,1654,5621.90,351.99
台北市,松山區,安平里,2932,2957072,1009,683,374,1269,1132.77,112.32
台北市,松山區,富錦里,1859,2576370,1386,836,414,1577,3190.18,230.19
台北市,松山區,莊敬里,1697,1725802,1017,757,416,1332,984.55,96.81
台北市,松山區,新益里,1673,1806571,1080,721,388,1405,1315.47,121.82
台北市,松山區,富泰里,1720,2211390,1286,823,413,1579,2329.16,181.16
台北市,松山區,龍田里,3599,5608300,1558,1026,484,2028,1895.37,121.63
台北市,松山區,慈祐里,2453,2364959,964,662,359,1224,1074.47,111.45
台北市,松山區,復源里,1085,1502914,1385,831,407,1553,3776.44,272.63
台北市,松山區,民福里,2303,2601023,1129,733,395,1349,1557.08,137.87
台北市,松山區,松基里,1396,3150066,2256,818,390,1749,16402.11,726.88
台北市,松山區,新聚里,2962,3464562,1170,722,385,1373,2535.06,216.73
台北市,松山區,民有里,3451,6152885,1783,839,412,1759,6932.67,388.84
台北市,大安區,建安里,1947,3317469,1704,828,383,1771,3657.47,214.65
台北市,大安區,通安里,1959,2378399,1214,707,384,1468,1674.08,137.89
台北市,大安區,民輝里,2622,6356716,2424,898,422,2065,8669.16,357.58
台北市,大安區,德安里,2066,3809736,1844,865,413,1918,4760.84,258.18
台北市,大安區,敦安里,2362,4925723,2085,961,454,2078,5644.91,270.69
台北市,大安區,光明里,1288,3555654,2761,1084,483,2082,25210.36,913.22
台北市,大安區,永康里,1350,2205691,1634,930,480,1795,4399.35,269.26
台北市,大安區,福住里,2301,4171022,1813,991,478,2052,3409.70,188.10
台北市,大安區,仁愛里,2090,6398978,3062,978,431,2202,18425.75,601.81
台北市,大安區,義村里,2156,3499680,1623,756,375,1498,13588.30,837.12
台北市,大安區,臥龍里,718,1094513,1524,890,411,1821,2499.39,163.96
台北市,大安區,通化里,2123,2435889,1147,682,378,1348,2209.23,192.55
台北市,大安區,龍生里,2408,4065467,1688,958,445,1964,2969.17,175.87
台北市,大安區,新龍里,2425,3488413,1439,877,426,1859,1949.02,135.49
台北市,大安區,住安里,1807,2810882,1556,756,406,1429,6362.32,409.01
台北市,大安區,錦泰里,1317,2082347,1581,1052,436,2071,2041.85,129.14
台北市,大安區,建倫里,2367,5364563,2266,956,400,2072,11589.42,511.36
台北市,大安區,錦華里,2054,3639137,1772,1021,487,2046,6560.74,370.30
台北市,大安區,光武里,2756,4288866,1556,786,363,1606,6417.37,412.38
台北市,大安區,仁慈里,1988,3832113,1928,982,448,2106,7227.40,374.94
台北市,大安區,黎孝里,2731,2987437,1094,743,390,1357,1323.26,120.97
台北市,大安區,民炤里,3100,7083274,2285,954,422,2104,9887.81,432.74
台北市,大安區,昌隆里,1260,2172785,1724,841,411,1733,6554.09,380.07
台北市,大安區,黎和里,1723,2004203,1163,780,416,1403,1679.10,144.35
台北市,大安區,龍雲里,1823,4522896,2481,830,404,1738,20386.65,821.71
台北市,大安區,芳和里,1978,2259600,1142,731,389,1381,1465.88,128.32
台北市,大安區,龍安里,2325,4898022,2107,1010,432,2054,9139.38,433.83
台北市,大安區,義安里,2109,4858603,2304,936,438,2013,7942.78,344.78
台北市,大安區,虎嘯里,1495,2388175,1597,851,409,1794,3514.45,220.01
台北市,大安區,龍淵里,3223,4924841,1528,955,456,1893,2644.95,173.10
台北市,大安區,龍坡里,2116,3494794,1652,1016,481,2091,2628.48,159.15
台北市,大安區,龍門里,1568,3035882,1936,1080,479,2163,4157.03,214.71
台北市,大安區,敦煌里,2329,3920539,1683,917,449,1884,4006.48,238.01
台北市,大安區,羣賢里,2250,3377545,1501,789,372,1618,3084.23,205.46
台北市,大安區,車層里,2390,4092222,1712,872,405,1858,3316.39,193.69
台北市,大安區,光信里,2827,4436229,1569,843,417,1701,3075.10,195.96
台北市,大安區,和安里,2468,8764231,3551,1015,456,2114,42315.53,1191.60
台北市,大安區,正聲里,1848,3851749,2084,830,408,1893,10246.14,491.59
台北市,大安區,誠安里,1552,1828697,1178,738,356,1460,1410.03,119.67
台北市,大安區,華聲里,1590,2240451,1409,789,384,1605,2653.25,188.30
台北市,大安區,臨江里,1349,1292805,958,652,372,1182,1009.78,105.37
台北市,大安區,龍陣里,1303,2143146,1645,809,405,1681,3554.56,216.11
台北市,大安區,龍圖里,2604,4098969,1574,853,416,1784,2499.54,158.79
台北市,大安區,古莊里,2670,3905623,1463,866,448,1732,2726.38,186.38
台北市,大安區,錦安里,2155,4469836,2074,995,465,2086,6511.38,313.93
台北市,大安區,大學里,3138,4601880,1467,883,427,1789,2301.22,156.92
台北市,大安區,古風里,1574,2588744,1645,860,404,1749,5431.91,330.27
台北市,大安區,全安里,1724,2922606,1695,846,414,1846,3114.13,183.70
台北市,大安區,黎元里,1800,1584253,880,654,382,1144,764.59,86.87
台北市,大安區,法治里,1716,2222298,1295,777,399,1537,1845.68,142.52
台北市,大安區,龍泉里,1764,2599186,1473,866,412,1794,3898.65,264.59
台北市,大安區,羣英里,2575,3213828,1248,756,384,1588,1907.40,152.83
台北市,大安區,學府里,733,889362,1213,730,418,1504,1340.62,110.49
台北市,中正區,南門里,943,2271848,2409,881,410,1826,12030.08,499.35
台北市,中正區,龍興里,1248,1438881,1153,772,408,1527,1219.26,105.75
台北市,中正區,愛國里,1106,1418874,1283,807,380,1512,2022.50,157.65
台北市,中正區,龍光里,1176,1645853,1400,911,465,1772,1834.64,131.09
台北市,中正區,河堤里,1784,2093203,1173,739,397,1428,1636.60,139.48
台北市,中正區,龍福里,1979,3203673,1619,914,435,1789,10980.94,678.32
台北市,中正區,螢雪里,1541,1580025,1025,701,406,1270,1185.96,115.67
台北市,中正區,永昌里,1599,1503199,940,609,340,1110,2927.27,311.38
台北市,中正區,文盛里,847,1026305,1212,820,388,1595,1323.80,109.25
台北市,中正區,忠勤里,1797,1321818,736,545,331,935,684.47,93.05
台北市,中正區,永功里,2054,2218309,1080,717,371,1317,1345.67,124.60
台北市,中正區,螢圃里,2031,2233912,1100,707,381,1378,1403.93,127.64
台北市,中正區,幸市里,1816,4070480,2241,935,422,1932,10452.56,466.33
台北市,中正區,文祥里,2763,4592355,1662,944,442,2041,2563.49,154.23
台北市,中正區,黎明里,1191,1745683,1466,795,391,1529,3451.17,235.46
台北市,中正區,建國里,560,827464,1478,928,434,1707,2390.05,161.75
台北市,中正區,光復里,1352,1955317,1446,733,404,1466,2985.62,206.44
台北市,中正區,東門里,1445,10857218,7514,912,454,1969,205149.77,2730.36
台北市,中正區,板溪里,1194,1357778,1137,748,404,1430,1279.26,112.50
台北市,中正區,文北里,2140,4742481,2216,965,432,2056,6323.82,285.36
台北市,中正區,梅花里,1259,2061619,1638,882,425,1749,3659.19,223.46
台北市,中正區,廈安里,1439,1723173,1197,797,416,1516,1369.88,114.40
台北市,中正區,網溪里,2186,2681550,1227,790,397,1567,1483.91,120.97
台北市,中正區,林興里,1636,2273625,1390,858,423,1624,2798.48,201.37
台北市,中正區,幸福里,1768,2722813,1540,849,422,1709,2945.56,191.26
台北市,中正區,水源里,1079,1184821,1098,742,389,1342,1195.88,108.91
台北市,中正區,富水里,852,1051123,1234,907,456,1574,1281.57,103.88
台北市,中正區,頂東里,2325,2719417,1170,777,397,1461,1476.41,126.23
台北市,中正區,新營里,3080,5101605,1656,1067,488,2107,2245.84,135.59
台北市,中正區,南福里,3625,5973234,1648,997,478,2062,2334.83,141.69
台北市,中正區,三愛里,3141,5681976,1809,877,408,1897,7615.68,421.00
台北市,萬華區,柳鄉里,1448,1099881,760,542,333,941,1430.57,188.34
台北市,萬華區,雙園里,1460,1435520,983,659,383,1226,1066.04,108.42
台北市,萬華區,糖廍里,1719,1530044,890,626,368,1118,961.03,107.97
台北市,萬華區,西門里,1242,1258566,1013,701,366,1221,1538.38,151.81
台北市,萬華區,仁德里,1810,1973503,1090,646,342,1278,1744.84,160.03
台北市,萬華區,新起里,2255,2507677,1112,682,374,1302,2061.48,185.38
台北市,萬華區,日善里,1139,959528,842,586,357,1057,855.75,101.58
台北市,萬華區,菜園里,1951,1846687,947,628,348,1155,1273.99,134.60
台北市,萬華區,頂碩里,2313,2088671,903,624,364,1102,1170.40,129.61
台北市,萬華區,福音里,1363,2064317,1515,634,370,1081,12724.60,840.16
台北市,萬華區,華中里,1876,1592912,849,599,358,1070,937.56,110.42
台北市,萬華區,青山里,1604,1413588,881,586,353,1071,1027.29,116.57
台北市,萬華區,新和里,2829,2662479,941,657,378,1197,1085.02,115.29
台北市,萬華區,新安里,1718,1362266,793,575,362,975,764.91,96.47
台北市,萬華區,富民里,1440,1180847,820,594,343,1034,820.32,100.03
台北市,萬華區,富福里,1571,1632416,1039,628,338,1141,2237.97,215.38
台北市,萬華區,綠堤里,1036,737640,712,556,339,894,640.73,89.99
台北市,萬華區,忠貞里,1304,1039371,797,568,343,998,808.71,101.46
台北市,萬華區,日祥里,1628,1460779,897,618,361,1144,922.31,102.79
台北市,萬華區,忠德里,1321,1115720,845,627,369,1072,783.44,92.76
台北市,萬華區,孝德里,1004,814370,811,579,355,1026,746.82,92.07
台北市,萬華區,保德里,1093,1184218,1083,595,349,1168,2719.44,251.00
台北市,萬華區,全德里,1392,1480791,1064,682,383,1261,1987.25,186.81
台北市,萬華區,興德里,1245,1014017,814,607,347,1049,790.58,97.07
台北市,萬華區,壽德里,1587,1521674,959,679,388,1215,978.40,102.04
台北市,萬華區,凌霄里,1077,868666,807,599,374,1039,685.50,84.99
台北市,萬華區,和平里,1968,1547612,786,594,359,1018,704.17,89.54
台北市,萬華區,騰雲里,1044,992004,950,631,379,1159,1082.47,113.92
台北市,萬華區,榮德里,1027,813735,792,581,362,983,680.95,85.94
台北市,萬華區,福星里,1613,1627327,1009,632,354,1155,1608.92,159.48
台北市,萬華區,和德里,1729,1357678,785,552,346,970,794.80,101.22
台北市,萬華區,萬壽里,1094,1171107,1070,676,353,1261,1306.62,122.06
