縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
台北市,松山區,中崙里,1319,1513944,1148,803,443,1437,1256.62,109.48
台北市,松山區,自強里,2226,2447289,1099,825,446,1450,971.50,88.37
台北市,松山區,鵬程里,1812,2746338,1516,819,455,1563,11376.68,750.62
台北市,松山區,東榮里,3148,6642093,2110,958,475,1975,12783.07,605.85
台北市,松山區,介壽里,1610,2192075,1362,859,454,1687,1627.73,119.55
台北市,松山區,東勢里,1166,1543475,1324,779,433,1476,2367.02,178.81
台北市,松山區,東光里,2722,3529480,1297,814,437,1547,2260.34,174.32
台北市,松山區,中正里,2881,4876383,1693,958,493,1852,4550.25,268.83
台北市,松山區,復盛里,2175,2262669,1040,740,412,1327,1002.84,96.40
台北市,松山區,復勢里,2163,2569434,1188,791,430,1480,1456.21,122.59
台北市,松山區,美仁里,1160,1559447,1344,890,450,1663,1626.88,121.02
台北市,松山區,吉仁里,1301,1679983,1291,841,478,1538,1716.04,132.89
台北市,松山區,精忠里,1623,3555736,2191,893,472,1764,26977.34,1231.37
台北市,松山區,東昌里,1719,4125779,2400,943,473,1859,27781.21,1157.50
台北市,松山區,福成里,977,1895499,1940,913,455,1703,12697.24,654.46
台北市,松山區,中華里,1813,3070714,1694,1068,556,1995,3172.63,187.32
台北市,松山區,吉祥里,2874,3739688,1301,772,424,1529,3760.94,289.03
台北市,松山區,新東里,1729,1792817,1037,724,418,1326,1061.19,102.34
台北市,松山區,三民里,2724,3467571,1273,812,449,1513,1735.42,136.33
台北市,松山區,復建里,1264,1482112,1173,773,416,1481,1546.25,131.87
台北市,松山區,敦化里,2383,3372108,1415,899,474,1654,2664.27,188.28
台北市,松山區,安平里,2672,2542529,952,674,393,1198,969.29,101.87
台北市,松山區,富錦里,1894,2374334,1254,785,424,1543,1687.13,134.58
台北市,松山區,莊敬里,1797,1574511,876,634,387,1110,800.01,91.31
台北市,松山區,新益里,1535,1506058,981,694,393,1244,979.03,99.78
台北市,松山區,富泰里,1687,2028044,1202,815,418,1492,1405.58,116.92
台北市,松山區,龍田里,2022,2567450,1270,829,451,1628,2492.19,196.27
台北市,松山區,慈祐里,1902,1684721,886,584,350,1015,1264.54,142.76
台北市,松山區,復源里,1074,1191375,1109,750,419,1423,1197.46,107.95
台北市,松山區,民福里,2202,2382856,1082,740,418,1356,1465.07,135.39
台北市,松山區,松基里,1390,2213699,1593,820,435,1715,3409.98,214.12
台北市,松山區,新聚里,2551,2814167,1103,727,416,1334,1961.88,177.84
台北市,松山區,民有里,3352,6262716,1868,872,460,1816,8456.26,452.61
台北市,大安區,建安里,2080,3260993,1568,863,429,1777,3612.76,230.44
