101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：彰化縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
彰化市,中正里,541,636197,1176,531,301,1018,6033.28,513.05
彰化市,文化里,476,396144,832,539,300,959,1257.33,151.08
彰化市,新興里,1779,1558167,876,621,360,1080,895.95,102.29
彰化市,下廍里,1712,1600162,935,647,376,1134,1334.34,142.76
彰化市,民生里,537,547312,1019,637,318,1115,1798.77,176.49
彰化市,興北里,576,493343,856,635,331,1077,837.6,97.79
彰化市,信義里,324,361927,1117,609,350,1259,1858.3,166.36
彰化市,陽明里,612,521467,852,594,340,1111,826.96,97.05
彰化市,萬安里,1425,1262839,886,608,332,1105,1250.58,141.12
彰化市,新華里,515,401068,779,550,353,973,719.12,92.34
彰化市,光華里,303,269856,891,590,292,1168,900.95,101.16
彰化市,光復里,295,345072,1170,595,307,1068,1852.45,158.37
彰化市,龍山里,676,692094,1024,682,389,1175,2882.49,281.55
彰化市,中山里,242,190556,787,538,317,935,876.72,111.34
彰化市,永福里,293,347089,1185,741,369,1266,4420.66,373.18
彰化市,永生里,412,296750,720,513,257,908,709.71,98.53
彰化市,桃源里,691,603904,874,520,327,904,2096.69,239.91
彰化市,大同里,349,315780,905,579,305,1026,1426.81,157.69
彰化市,東興里,578,578352,1001,630,364,1150,1287.92,128.71
彰化市,卦山里,888,811508,914,673,351,1123,1006.64,110.15
彰化市,彰安里,1016,880434,867,576,324,1038,946.08,109.18
彰化市,福安里,392,319476,815,592,308,1044,773.96,94.97
彰化市,西安里,938,895455,955,620,341,1103,1645.26,172.34
彰化市,成功里,543,512220,943,606,352,1130,1212.41,128.53
彰化市,南瑤里,2692,2348309,872,602,333,1082,1176.59,134.88
彰化市,華陽里,555,428897,773,571,342,1042,723.36,93.6
彰化市,延和里,1742,1597015,917,573,326,1057,2026.52,221.05
彰化市,延平里,2896,2706382,935,606,350,1112,1638.68,175.35
彰化市,華北里,499,420458,843,592,342,1048,1093.8,129.81
彰化市,南興里,2392,1964706,821,580,332,1048,889.07,108.24
彰化市,富貴里,309,233888,757,496,259,913,893.35,118.02
彰化市,介壽里,715,625003,874,607,349,1018,1129.09,129.17
彰化市,光南里,537,511223,952,623,324,1074,2395.39,251.62
彰化市,民權里,369,328135,889,575,323,929,1575.14,177.13
彰化市,萬壽里,292,212854,729,523,269,859,1077.81,147.86
彰化市,中央里,287,217575,758,484,268,909,963.58,127.1
彰化市,忠孝里,444,446663,1006,627,341,1171,1312.68,130.49
彰化市,五權里,1328,1026800,773,576,343,973,736.87,95.3
彰化市,西興里,1168,997236,854,600,323,1054,897.42,105.11
彰化市,忠權里,1071,896133,837,583,340,1066,798.68,95.45
彰化市,長樂里,387,321375,830,595,300,975,1025.74,123.52
彰化市,西勢里,1218,1044413,857,612,331,1114,812.12,94.71
彰化市,莿桐里,1060,810753,765,541,292,896,1414.14,184.89
彰化市,南安里,659,416868,633,446,272,782,639.78,101.14
彰化市,東芳里,1041,686308,659,502,296,803,600.68,91.11
彰化市,南美里,548,379131,692,495,301,804,690.62,99.82
彰化市,平和里,1542,1199615,778,540,319,934,808.59,103.94
彰化市,磚磘里,1054,707136,671,490,276,824,672.24,100.2
彰化市,阿夷里,2653,2177099,821,595,342,1058,769.47,93.77
彰化市,古夷里,789,506117,641,504,288,813,559.83,87.27
彰化市,寶廍里,355,235602,664,475,273,890,564.3,85.03
彰化市,茄苳里,281,196323,699,492,286,817,790.45,113.14
彰化市,茄南里,901,648869,720,527,310,911,679.24,94.32
彰化市,和調里,908,712814,785,562,344,989,717.57,91.41
彰化市,大竹里,1053,735693,699,536,327,899,583.84,83.57
彰化市,竹中里,557,384070,690,523,313,902,572.44,83.02
彰化市,安溪里,580,421774,727,574,339,930,629.27,86.53
彰化市,香山里,1049,776413,740,560,314,935,651.15,87.98
彰化市,牛埔里,895,582679,651,482,308,809,550.14,84.5
彰化市,三村里,300,190103,634,450,264,692,686.63,108.36
彰化市,國聖里,847,606900,717,503,289,863,859.96,120.02
彰化市,福山里,2249,1488647,662,512,298,832,572.33,86.47
彰化市,中庄里,829,593744,716,552,329,860,815.18,113.82
彰化市,快官里,344,301586,877,535,339,944,1430.6,163.18
彰化市,竹巷里,223,136178,611,474,304,725,467.04,76.48
彰化市,福田里,342,214142,626,462,332,798,550.72,87.95
彰化市,石牌里,326,235170,721,538,339,845,861.78,119.46
彰化市,田中里,255,170456,668,514,307,727,805.12,120.45
彰化市,建寶里,841,722261,859,633,355,1108,802.05,93.39
彰化市,復興里,1512,1141333,755,559,321,970,718.17,95.14
彰化市,臺鳳里,1455,891981,613,483,291,786,488.18,79.63
彰化市,向陽里,1569,1457352,929,653,362,1129,1144.11,123.18
彰化市,崙平里,1834,1467942,800,565,329,973,921.67,115.15
彰化市,其　他,6,4442,740,638,515,1042,522.22,70.53
彰化市,合　計,63871,52363736,820,567,324,989,1275.85,155.62
鹿港鎮,詔安里,554,307534,555,417,248,709,551.36,99.32
鹿港鎮,洋厝里,642,428706,668,486,292,768,907.89,135.96
鹿港鎮,海埔里,1016,592023,583,454,271,715,517.85,88.87
鹿港鎮,山崙里,783,474979,607,424,275,734,612.49,100.97
鹿港鎮,頭南里,593,420183,709,439,275,685,1373.5,193.84
鹿港鎮,草中里,892,572131,641,473,284,794,609.27,94.99
鹿港鎮,廖厝里,1248,802803,643,468,271,789,706.41,109.82
鹿港鎮,溝墘里,1364,984371,722,455,279,735,2607.54,361.31
鹿港鎮,頭崙里,834,583248,699,460,267,833,751.69,107.49
鹿港鎮,東石里,1200,859972,717,488,305,832,1101.47,153.7
鹿港鎮,頂番里,1199,834050,696,494,283,818,773.7,111.22
鹿港鎮,郭厝里,139,87009,626,477,251,735,562.16,89.81
鹿港鎮,玉順里,354,238874,675,459,290,796,674.85,100.01
鹿港鎮,新宮里,243,135413,557,456,221,790,489.63,87.86
鹿港鎮,順興里,247,194386,787,552,357,977,825.05,104.84
鹿港鎮,中興里,193,148742,771,440,234,818,1790.52,232.33
鹿港鎮,景福里,385,300717,781,536,278,1042,756.07,96.8
鹿港鎮,興化里,174,133570,768,592,352,932,661.54,86.18
鹿港鎮,洛津里,242,154782,640,477,297,815,545.69,85.32
鹿港鎮,街尾里,706,540202,765,554,322,895,882.34,115.31
鹿港鎮,泰興里,431,461845,1072,606,351,1078,3409.53,318.18
鹿港鎮,埔崙里,1424,1015438,713,510,308,848,1487.92,208.66
鹿港鎮,菜園里,301,192786,640,519,307,824,507.43,79.23
鹿港鎮,長興里,95,91739,966,494,247,1008,1695.73,175.6
鹿港鎮,東崎里,1405,941583,670,494,305,797,685.16,102.24
鹿港鎮,龍山里,250,160532,642,433,252,837,689.87,107.43
鹿港鎮,頂厝里,2312,1766292,764,518,303,908,1020.67,133.6
鹿港鎮,大有里,352,253555,720,491,302,906,704.88,97.86
鹿港鎮,永安里,1414,1131378,800,537,306,951,1041.37,130.15
鹿港鎮,其　他,1,2305,2305,2305,2305,2305,0,0
鹿港鎮,合　計,20993,14811148,706,488,288,825,1210.19,171.53
和美鎮,竹營里,1924,1443348,750,539,325,872,1106.69,147.52
和美鎮,和東里,1490,1197216,804,522,294,906,1299.98,161.79
和美鎮,和南里,161,112037,696,504,274,852,699.01,100.45
和美鎮,和北里,618,481109,778,503,286,914,1850.28,237.67
和美鎮,和西里,1143,884843,774,570,316,961,761.25,98.33
和美鎮,四張里,976,638745,654,481,289,785,750.5,114.68
和美鎮,頭前里,520,348021,669,502,315,827,608.54,90.93
和美鎮,還社里,261,154377,591,466,278,747,522.68,88.37
和美鎮,鎮平里,878,550393,627,473,295,774,572.81,91.38
和美鎮,大霞里,441,280015,635,453,284,756,642.69,101.22
和美鎮,源埤里,539,364110,676,507,289,858,615.19,91.07
和美鎮,南佃里,627,395839,631,458,301,739,681.21,107.9
和美鎮,雅溝里,420,268843,640,480,297,776,576.47,90.06
和美鎮,面前里,649,431998,666,475,282,796,644.67,96.85
和美鎮,山犁里,1700,1200076,706,520,304,923,622.94,88.24
