101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：花蓮縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
花蓮市,民意里,503,334496,665,534,331,867,506.99,76.24
花蓮市,民政里,1243,1084493,872,641,360,1119,799.7,91.66
花蓮市,民運里,586,452403,772,562,335,922,779.58,100.98
花蓮市,民樂里,201,185781,924,695,431,1182,790.24,85.5
花蓮市,民立里,551,560324,1017,741,395,1291,1054.37,103.68
花蓮市,民勤里,1049,1114607,1063,801,469,1400,926.51,87.2
花蓮市,民德里,520,521817,1003,768,437,1308,878.92,87.59
花蓮市,民權里,104,101900,980,743,385,1357,747.26,76.27
花蓮市,民有里,166,128028,771,590,337,961,744.98,96.59
花蓮市,民主里,175,138164,790,559,299,1121,761.95,96.51
花蓮市,民治里,20,16696,835,766,429,1125,475.77,56.99
花蓮市,民族里,155,127917,825,582,376,995,846.29,102.55
花蓮市,民生里,392,305367,779,563,318,1031,690.13,88.59
花蓮市,主商里,205,159292,777,606,316,994,667.12,85.85
花蓮市,主勤里,312,237308,761,519,287,1053,703.34,92.47
花蓮市,主工里,215,157546,733,583,339,960,689.7,94.12
花蓮市,主睦里,170,117976,694,534,290,860,632.48,91.14
花蓮市,主義里,124,79906,644,493,297,822,638.48,99.08
花蓮市,主計里,234,185591,793,562,353,955,817.21,103.04
花蓮市,主信里,216,151734,702,540,278,817,682.18,97.11
花蓮市,主和里,763,492740,646,530,294,828,553.7,85.74
花蓮市,主學里,595,421553,708,545,311,959,592.93,83.69
花蓮市,主農里,1137,857932,755,567,324,985,657.77,87.17
花蓮市,主力里,911,670073,736,564,323,930,674.45,91.69
花蓮市,主權里,1663,1256294,755,556,345,969,749.75,99.25
花蓮市,國治里,341,351384,1030,564,291,1205,2639.99,256.2
花蓮市,國風里,1083,893105,825,618,368,1077,711.52,86.28
花蓮市,國威里,557,487388,875,588,336,1137,915.84,104.67
花蓮市,國安里,167,147169,881,617,419,1046,902.91,102.46
花蓮市,國華里,764,648722,849,589,338,1128,808.25,95.19
花蓮市,國魂里,680,536854,789,549,312,1008,888.09,112.49
花蓮市,國聯里,858,636163,741,543,294,914,794.8,107.2
花蓮市,國富里,1724,1389537,806,603,356,1030,742.54,92.13
花蓮市,國慶里,341,355349,1042,646,349,1189,1126.32,108.08
花蓮市,國福里,355,206245,581,492,324,717,413.81,71.23
花蓮市,國強里,532,441822,830,649,377,1010,712.29,85.77
花蓮市,國防里,263,191796,729,589,344,990,585.63,80.3
花蓮市,國光里,390,297009,762,549,297,1001,727.7,95.55
花蓮市,民心里,288,287956,1000,600,368,1174,1419.89,142.01
花蓮市,民享里,944,850516,901,670,384,1128,939.68,104.3
花蓮市,國裕里,1399,1115186,797,594,345,1024,763.03,95.72
花蓮市,國盛里,1044,744949,714,561,317,907,623.05,87.32
花蓮市,主安里,771,569691,739,566,342,955,619.56,83.85
花蓮市,國興里,1302,1328022,1020,738,422,1289,957.59,93.88
花蓮市,民孝里,1039,856140,824,674,398,1067,660.87,80.2
花蓮市,其　他,14,8039,574,433,324,828,315.93,55.02
花蓮市,合　計,27066,22202978,820,602,346,1037,835.21,101.81
光復鄉,大安村,241,165169,685,509,271,938,654.02,95.43
光復鄉,大全村,149,73187,491,412,232,625,390.2,79.44
光復鄉,大平村,211,122114,579,478,276,771,427.81,73.92
光復鄉,大馬村,206,116113,564,490,308,708,367.67,65.23
光復鄉,大進村,129,98520,764,595,380,1004,571.76,74.87
光復鄉,大同村,256,175266,685,490,294,872,728.55,106.42
光復鄉,東富村,226,108984,482,418,244,663,334.75,69.42
光復鄉,西富村,195,110757,568,477,301,683,517.71,91.15
光復鄉,南富村,192,115230,600,508,317,817,453.86,75.62
光復鄉,北富村,166,80792,487,419,266,609,332.03,68.22
光復鄉,大富村,70,38897,556,460,334,738,331.47,59.65
光復鄉,大豐村,90,57677,641,494,222,803,784.03,122.34
光復鄉,大興村,71,37100,523,411,251,653,424.21,81.18
光復鄉,大華村,323,218453,676,503,294,857,947.33,140.07
光復鄉,其　他,1,845,845,845,845,845,0,0
光復鄉,合　計,2526,1519103,601,478,281,772,591.84,98.41
玉里鎮,中城里,1501,1189050,792,589,365,1049,649.96,82.05
玉里鎮,國武里,402,296978,739,528,296,903,712.86,96.5
玉里鎮,啓模里,377,280814,745,515,304,833,847.38,113.76
玉里鎮,泰昌里,259,213994,826,600,322,1005,927.89,112.3
玉里鎮,源城里,257,148002,576,505,310,730,388.76,67.51
玉里鎮,長良里,103,51075,496,447,281,600,320.41,64.62
玉里鎮,樂合里,154,92471,600,491,323,788,417.28,69.49
玉里鎮,觀音里,228,116714,512,459,297,638,324.93,63.47
玉里鎮,松浦里,277,130758,472,413,257,628,300.64,63.69
玉里鎮,春日里,100,61034,610,494,363,670,548.31,89.84
玉里鎮,德武里,103,56066,544,480,317,689,398.92,73.29
玉里鎮,三民里,129,89832,696,527,353,815,573.46,82.35
玉里鎮,大禹里,226,132028,584,500,335,717,395.37,67.68
玉里鎮,東豐里,79,41435,524,444,277,672,392.22,74.78
玉里鎮,永昌里,309,203217,658,542,317,788,504.61,76.73
玉里鎮,其　他,0,0,0,0,0,0,0,0
玉里鎮,合　計,4504,3103467,689,526,320,857,619.33,89.88
新城鄉,新城村,380,271733,715,526,338,851,819.3,114.57
新城鄉,順安村,187,108292,579,468,287,688,460.2,79.47
新城鄉,康樂村,687,622618,906,594,358,1187,1487.75,164.16
新城鄉,北埔村,1027,771655,751,581,362,989,601.39,80.04
新城鄉,佳林村,257,185202,721,530,320,875,662.43,91.92
新城鄉,嘉里村,1092,878612,805,705,400,1033,584.7,72.67
新城鄉,嘉新村,207,124022,599,499,320,769,412.5,68.85
新城鄉,大漢村,606,369792,610,490,313,732,544.84,89.29
新城鄉,其　他,1,706,706,706,706,706,0,0
新城鄉,合　計,4444,3332633,750,570,350,953,811.52,108.21
吉安鄉,仁里村,1916,1347430,703,536,320,894,645.8,91.83
吉安鄉,東昌村,1537,1111234,723,579,364,938,537.37,74.33
吉安鄉,南昌村,1154,816769,708,555,330,887,590.05,83.37
吉安鄉,北昌村,2392,1889879,790,601,342,1001,722.13,91.4
吉安鄉,宜昌村,1154,839766,728,533,338,892,767.18,105.43
吉安鄉,太昌村,855,627529,734,566,333,888,696.34,94.87
吉安鄉,慶豐村,2036,1657052,814,633,378,1067,658.62,80.92
吉安鄉,吉安村,1578,1336128,847,643,360,1152,693.36,81.89
吉安鄉,福興村,731,567901,777,597,360,966,687.1,88.44
吉安鄉,稻香村,897,798740,890,611,370,1122,1639,184.06
吉安鄉,永興村,653,415997,637,501,328,830,481.4,75.57
吉安鄉,南華村,326,213589,655,535,323,833,531.18,81.07
吉安鄉,干城村,295,201688,684,550,346,851,608.56,89.01
吉安鄉,光華村,450,347413,772,589,382,933,693.24,89.8
吉安鄉,仁和村,1167,772536,662,552,345,844,520.31,78.6
吉安鄉,仁安村,595,357766,601,474,290,764,473.5,78.75
吉安鄉,永安村,1293,1049413,812,608,365,1082,732.38,90.24
吉安鄉,勝安村,1551,1302585,840,637,363,1094,723.36,86.13
吉安鄉,其　他,8,4994,624,511,393,689,385.65,61.78
吉安鄉,合　計,20588,15658408,761,579,349,972,730.99,96.11
壽豐鄉,池南村,162,99421,614,487,288,770,492.21,80.2
壽豐鄉,志學村,589,424294,720,538,335,923,599.45,83.22
壽豐鄉,光榮村,171,111176,650,517,347,793,649.95,99.97
壽豐鄉,平和村,275,183703,668,506,307,844,583.66,87.37
壽豐鄉,壽豐村,399,263582,661,540,301,803,575.68,87.14
壽豐鄉,共和村,137,90769,663,437,288,664,1116.68,168.54
壽豐鄉,豐山村,438,271245,619,479,312,755,528.27,85.3
壽豐鄉,豐裡村,326,193976,595,442,281,756,524.12,88.09
壽豐鄉,豐坪村,186,110435,594,451,262,711,584.67,98.47
壽豐鄉,溪口村,205,133083,649,490,293,764,538.18,82.9
壽豐鄉,月眉村,197,103129,523,454,288,669,379.68,72.53
壽豐鄉,米棧村,43,20372,474,447,240,598,319.14,67.36
壽豐鄉,水璉村,118,61929,525,475,296,687,301.44,57.44
壽豐鄉,鹽寮村,76,50548,665,542,297,893,633.15,95.2
壽豐鄉,樹湖村,67,39898,595,509,335,646,437.63,73.49
壽豐鄉,其　他,0,0,0,0,0,0,0,0
壽豐鄉,合　計,3389,2157560,637,493,302,774,582,91.42
鳳林鎮,鳳仁里,333,238122,715,571,313,966,570.32,79.76
鳳林鎮,鳳義里,146,116538,798,571,375,1000,738.71,92.55
鳳林鎮,鳳禮里,167,133984,802,568,319,889,1167.39,145.5
鳳林鎮,鳳智里,346,263100,760,560,365,982,608.25,79.99
鳳林鎮,鳳信里,317,208967,659,532,352,808,494.58,75.03
鳳林鎮,林榮里,200,119853,599,447,282,760,507.48,84.68
鳳林鎮,南平里,106,66020,623,518,260,770,660.27,106.01
鳳林鎮,北林里,129,75010,581,494,309,717,431.61,74.23
鳳林鎮,大榮里,236,154354,654,499,303,825,562.23,85.96
鳳林鎮,山興里,86,45801,533,451,285,665,364.36,68.42
鳳林鎮,長橋里,211,139432,661,569,342,798,469.24,71.01
鳳林鎮,森榮里,28,14606,522,535,331,711,250.85,48.09
鳳林鎮,其　他,0,0,0,0,0,0,0,0
鳳林鎮,合　計,2305,1575786,684,534,319,857,620,90.69
豐濱鄉,豐濱村,345,181162,525,440,274,674,365.33,69.57
豐濱鄉,港口村,123,81324,661,378,247,633,2149,325.03
豐濱鄉,靜浦村,121,58098,480,400,245,613,370.09,77.08
豐濱鄉,新社村,98,50535,516,409,247,632,517.49,100.36
豐濱鄉,磯崎村,47,25931,552,489,318,665,350.33,63.5
豐濱鄉,其　他,0,0,0,0,0,0,0,0
豐濱鄉,合　計,734,397050,541,421,262,650,948.74,175.39
瑞穗鄉,瑞穗村,485,306412,632,506,301,764,516,81.67
瑞穗鄉,瑞良村,102,61339,601,478,309,683,544.4,90.53
瑞穗鄉,瑞美村,428,285011,666,545,348,824,512.8,77.01
瑞穗鄉,瑞祥村,192,115651,602,548,311,785,415.94,69.05
瑞穗鄉,瑞北村,106,57566,543,421,259,673,479.7,88.33
瑞穗鄉,奇美村,69,37663,546,482,269,732,418.79,76.72
瑞穗鄉,富源村,146,72937,500,447,241,643,377.85,75.64
