101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：臺東縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
臺東市,中山里,266,193977,729,563,346,986,589.84,80.88
臺東市,文化里,227,194493,857,621,378,1116,704.62,82.24
臺東市,中正里,282,233950,830,610,319,1004,814.92,98.23
臺東市,中華里,358,229812,642,519,323,873,488.89,76.16
臺東市,成功里,168,102886,612,523,319,791,423.36,69.13
臺東市,大同里,202,143346,710,548,306,922,641.23,90.36
臺東市,寶桑里,184,110972,603,488,312,749,455.22,75.48
臺東市,中心里,968,912485,943,663,396,1210,872.97,92.61
臺東市,仁愛里,191,126861,664,518,336,835,535.34,80.6
臺東市,新生里,1979,1686679,852,645,369,1114,718.86,84.34
臺東市,復興里,97,70751,729,516,343,774,1302.06,178.51
臺東市,豐里里,456,329935,724,561,351,943,583.11,80.59
臺東市,豐年里,553,392228,709,537,336,874,603.75,85.12
臺東市,豐原里,213,138699,651,496,356,800,532.46,81.77
臺東市,康樂里,272,199408,733,586,342,947,584.7,79.75
臺東市,光明里,767,817887,1066,748,414,1152,5160.98,483.99
臺東市,鐵花里,130,101793,783,567,342,1013,650.29,83.05
臺東市,四維里,119,76232,641,564,328,810,485.18,75.74
臺東市,新興里,260,185551,714,537,341,908,673.01,94.3
臺東市,豐榮里,2313,1970556,852,692,408,1121,695.65,81.65
臺東市,永樂里,501,465837,930,680,404,1203,853.79,91.82
臺東市,興國里,192,150106,782,639,343,1068,599.61,76.7
臺東市,民族里,448,448682,1002,737,398,1260,987.1,98.56
臺東市,建國里,283,169059,597,487,293,756,507.95,85.03
臺東市,強國里,128,88722,693,537,344,894,519.49,74.95
臺東市,民生里,989,778998,788,597,341,1024,675.47,85.76
臺東市,馬蘭里,872,717016,822,663,388,1095,652.84,79.39
臺東市,復國里,107,68509,640,451,280,845,545.08,85.13
臺東市,豐樂里,366,264194,722,518,306,898,727.58,100.79
臺東市,東海里,921,769973,836,646,382,1106,711.9,85.15
臺東市,民權里,267,237715,890,678,397,1156,770.32,86.52
臺東市,卑南里,845,832335,985,778,447,1340,837.12,84.99
臺東市,南王里,618,465027,752,626,371,995,551.63,73.31
臺東市,建和里,248,153441,619,495,328,783,483.87,78.21
臺東市,知本里,229,134091,586,473,295,788,425.01,72.58
臺東市,富岡里,250,150267,601,486,316,698,551.3,91.72
臺東市,建興里,173,113947,659,485,293,735,750.48,113.94
臺東市,南榮里,580,468205,807,640,394,997,705.59,87.41
臺東市,岩灣里,440,368499,837,660,419,1125,641.63,76.61
臺東市,新園里,239,156275,654,532,344,792,560.59,85.73
臺東市,豐田里,391,251398,643,516,330,783,522.36,81.24
臺東市,自強里,1344,1180829,879,670,377,1129,759.14,86.4
臺東市,豐谷里,1158,837013,723,588,356,952,536.34,74.2
臺東市,建農里,278,166908,600,501,326,729,463.45,77.19
臺東市,建業里,206,145993,709,523,365,870,600.4,84.72
臺東市,富豐里,180,116661,648,544,353,857,428.82,66.16
臺東市,其　他,4,1048,262,279,145,396,175.78,67.12
臺東市,合　計,22262,17919251,805,611,362,1037,1175.25,146.01
成功鎮,忠仁里,458,281809,615,512,320,784,484.77,78.79
成功鎮,忠智里,412,294824,716,573,338,939,636.1,88.89
成功鎮,三民里,607,359553,592,458,293,753,474.18,80.05
成功鎮,三仙里,277,134066,484,403,260,602,360.64,74.51
成功鎮,忠孝里,150,76084,507,457,328,631,304.85,60.1
成功鎮,博愛里,116,56315,485,472,298,626,258.35,53.22
成功鎮,信義里,333,166369,500,411,267,620,390.55,78.17
成功鎮,和平里,150,77465,516,426,252,703,374.67,72.55
成功鎮,其　他,1,170,170,170,170,170,0,0
成功鎮,合　計,2504,1446656,578,464,299,732,470.66,81.47
