101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：臺中市,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
中　區,繼光里,491,417697,851,546,280,982,1361.15,160
中　區,大墩里,716,702525,981,612,310,1176,1322.94,134.83
中　區,綠川里,553,391217,707,473,238,876,793.97,112.23
中　區,公園里,564,559243,992,596,319,1183,1349.85,136.13
中　區,光復里,646,688122,1065,601,315,1149,2714.44,254.83
中　區,柳川里,455,398931,877,593,345,1037,1078.21,122.97
中　區,大誠里,512,466221,911,533,295,993,2661.87,292.32
中　區,中華里,439,378460,862,510,301,980,1201.85,139.41
中　區,其　他,5,1355,271,235,145,278,189.49,69.9
中　區,合　計,4381,4003771,914,562,295,1065,1730.58,189.36
東　區,新庄里,877,774868,884,569,309,1004,1137.9,128.79
東　區,泉源里,431,290056,673,506,303,846,599.48,89.08
東　區,東門里,2093,1484898,709,518,305,848,792.26,111.67
東　區,東勢里,735,511639,696,550,324,904,555.75,79.84
東　區,合作里,986,722183,732,588,324,906,677.05,92.44
東　區,振興里,941,690130,733,513,286,920,795.99,108.53
東　區,東橋里,1159,951319,821,549,299,935,1827.5,222.65
東　區,旱溪里,650,508803,783,527,295,904,1751.44,223.75
東　區,樂成里,564,407713,723,535,313,939,646.84,89.48
東　區,干城里,735,569870,775,566,326,955,859.64,110.87
東　區,東南里,1033,795934,771,555,341,951,777.37,100.89
東　區,十甲里,1278,996629,780,551,317,940,961.16,123.25
東　區,富臺里,401,260260,649,504,280,761,956.39,147.36
東　區,富仁里,1104,940766,852,596,335,1041,852.74,100.07
東　區,東興里,933,754778,809,585,334,1017,1017.82,125.82
東　區,東信里,2639,2056788,779,535,300,928,1590.35,204.05
東　區,東英里,1927,1636523,849,611,333,1097,824.02,97.03
東　區,其　他,6,2955,493,531,490,604,217.06,44.07
東　區,合　計,18492,14356112,776,552,311,943,1102.84,142.06
西　區,民生里,738,817310,1107,716,370,1370,1617.91,146.09
西　區,利民里,527,619130,1175,812,408,1527,1177.93,100.26
西　區,三民里,685,836975,1222,839,381,1687,1297.29,106.17
西　區,東昇里,829,848193,1023,678,360,1307,1057.56,103.36
西　區,廣民里,498,477006,958,576,319,1108,1741.94,181.86
西　區,平和里,666,670233,1006,668,350,1287,1121.96,111.49
西　區,公民里,1674,1766843,1055,664,365,1288,1295.16,122.71
