101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：苗栗縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
公館鄉,五谷村,714,559838,784,592,375,1046,675.07,86.1
公館鄉,玉谷村,414,307866,744,592,383,889,624.29,83.95
公館鄉,鶴岡村,489,359762,736,593,358,1011,523.5,71.16
公館鄉,鶴山村,427,287765,674,532,324,882,558.92,82.94
公館鄉,尖山村,440,331821,754,582,360,965,639.31,84.77
公館鄉,仁安村,353,269422,763,568,343,966,647.92,84.89
公館鄉,南河村,54,32313,598,441,304,847,503.97,84.22
公館鄉,北河村,80,54279,678,517,329,861,528.12,77.84
公館鄉,館東村,776,594757,766,567,340,1034,693.66,90.5
公館鄉,其　他,0,0,0,0,0,0,0,0
公館鄉,合　計,8681,6425072,740,571,355,957,617.44,83.42
銅鑼鄉,福興村,325,228194,702,545,339,886,561.57,79.98
銅鑼鄉,銅鑼村,1510,1068995,708,565,347,942,526.62,74.39
銅鑼鄉,朝陽村,573,383485,669,523,329,894,513.99,76.8
銅鑼鄉,竹森村,343,228510,666,535,321,892,567.94,85.25
銅鑼鄉,九湖村,324,212663,656,523,361,885,443.14,67.51
銅鑼鄉,樟樹村,366,260414,712,583,385,927,495.87,69.69
銅鑼鄉,興隆村,145,94086,649,518,313,874,461.61,71.14
銅鑼鄉,盛隆村,101,69236,686,558,372,977,427.84,62.41
銅鑼鄉,新隆村,129,94161,730,626,356,912,519.26,71.14
銅鑼鄉,中平村,1012,691915,684,542,333,900,537.08,78.55
銅鑼鄉,其　他,0,0,0,0,0,0,0,0
銅鑼鄉,合　計,4828,3331659,690,546,345,911,521.43,75.56
三義鄉,廣盛村,1316,986694,750,598,350,952,648.5,86.49
三義鄉,双湖村,567,436954,771,623,379,1047,647.74,84.05
三義鄉,双潭村,434,343882,792,585,381,966,1056.57,133.35
三義鄉,勝興村,1163,780646,671,526,332,830,538.06,80.16
三義鄉,西湖村,403,275926,685,540,362,868,516.55,75.44
三義鄉,龍騰村,92,91271,992,648,366,1059,1537.35,154.96
三義鄉,鯉魚潭村,294,181602,618,466,294,784,525.05,85
三義鄉,其　他,0,0,0,0,0,0,0,0
三義鄉,合　計,4269,3096975,725,560,347,920,689.88,95.1
西湖鄉,高埔村,163,110744,679,566,334,944,493.73,72.67
西湖鄉,下埔村,167,125425,751,558,361,866,675.47,89.94
西湖鄉,五湖村,249,181125,727,562,350,893,576.49,79.25
西湖鄉,四湖村,159,120894,760,579,319,943,798.02,104.96
西湖鄉,三湖村,234,166617,712,549,345,904,570.93,80.18
西湖鄉,湖東村,325,220672,679,522,340,829,571.91,84.23
西湖鄉,二湖村,178,150745,847,625,345,980,849.38,100.29
西湖鄉,龍洞村,122,82032,672,498,304,870,559.13,83.15
西湖鄉,金獅村,143,106070,742,554,346,957,663.92,89.51
西湖鄉,其　他,0,0,0,0,0,0,0,0
西湖鄉,合　計,1740,1264326,727,551,340,900,640.18,88.1
頭屋鄉,頭屋村,786,564040,718,567,353,963,624.03,86.96
頭屋鄉,象山村,615,434362,706,532,353,888,723.72,102.47
頭屋鄉,北坑村,192,121286,632,496,302,786,539.46,85.4
頭屋鄉,獅潭村,545,393517,722,571,368,967,509.08,70.51
頭屋鄉,曲洞村,275,201192,732,577,354,865,643.83,88
頭屋鄉,飛鳳村,112,78776,703,600,408,935,492.19,69.98
頭屋鄉,明德村,338,241089,713,515,328,923,585.3,82.06
頭屋鄉,鳴鳳村,72,57127,793,587,292,970,998.33,125.83
頭屋鄉,其　他,1,12,12,12,12,12,0,0
頭屋鄉,合　計,2936,2091401,712,555,352,929,626.76,87.99
竹南鎮,竹南里,817,727383,890,606,344,1109,929.51,104.4
竹南鎮,正南里,945,811254,858,628,365,1082,845.66,98.51
竹南鎮,新南里,1490,1491138,1001,705,397,1251,2023.61,202.21
竹南鎮,大厝里,1781,1665332,935,681,386,1213,873.13,93.38
