101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：雲林縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
斗六市,忠孝里,480,406927,848,584,330,1019,1442.9,170.2
斗六市,仁愛里,360,329135,914,582,317,993,2615.02,286.02
斗六市,信義里,227,186985,824,578,285,1025,864.92,105
斗六市,四維里,206,167548,813,539,317,1003,1184.21,145.6
斗六市,太平里,251,197946,789,576,338,1051,735.01,93.2
斗六市,中和里,268,213952,798,557,290,1042,743.6,93.14
斗六市,光興里,261,187194,717,472,262,811,893.93,124.64
斗六市,三平里,1470,1282883,873,652,379,1165,736.21,84.36
斗六市,八德里,972,704087,724,533,335,948,611.63,84.44
斗六市,鎮北里,866,708428,818,591,368,1031,747.36,91.36
斗六市,龍潭里,520,655384,1260,815,449,1692,1462.95,116.07
斗六市,鎮南里,1210,985206,814,596,355,1040,725.08,89.05
斗六市,林頭里,1127,878852,780,597,363,999,684.56,87.79
斗六市,重光里,583,406127,697,495,333,820,867.31,124.5
斗六市,溝埧里,195,172400,884,667,393,1154,709.72,80.28
斗六市,江厝里,524,357196,682,534,357,855,571.83,83.89
斗六市,三光里,126,91307,725,530,387,918,729.38,100.65
斗六市,崙峰里,695,650672,936,707,397,1197,963.8,102.95
斗六市,嘉東里,383,359006,937,717,377,1237,871.64,92.99
斗六市,久安里,611,493397,808,594,344,1103,688.33,85.24
斗六市,長平里,466,320546,688,508,342,835,612.28,89.01
斗六市,保庄里,1438,1228138,854,647,381,1097,761.09,89.11
斗六市,虎溪里,1585,1666761,1052,580,364,1007,7453.96,708.83
斗六市,梅林里,365,325504,892,522,353,777,3400.57,381.32
斗六市,湖山里,260,208468,802,498,298,800,3191.67,398.06
斗六市,榴中里,1255,818821,652,531,338,816,535.89,82.14
斗六市,榴北里,288,168654,586,488,324,750,420.69,71.84
斗六市,榴南里,530,350496,661,522,328,813,694.27,104.98
斗六市,長安里,736,460335,625,492,316,762,578.51,92.49
斗六市,溪洲里,791,568913,719,552,352,879,595.49,82.8
