101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：宜蘭縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
宜蘭市,南門里,162,130965,808,613,398,958,761.71,94.22
宜蘭市,大道里,363,235756,649,496,302,835,535.67,82.48
宜蘭市,建軍里,856,655992,766,587,353,944,668.29,87.21
宜蘭市,民族里,759,641339,845,604,369,1047,783.04,92.67
宜蘭市,思源里,2444,2405565,984,751,428,1308,804.93,81.78
宜蘭市,負郭里,937,784769,838,624,376,1088,714.67,85.33
宜蘭市,神農里,176,154659,879,613,348,1092,848.95,96.61
宜蘭市,和睦里,736,543381,738,574,334,944,650.47,88.1
宜蘭市,昇平里,180,129484,719,549,334,912,581.01,80.77
宜蘭市,民生里,104,67963,653,450,217,819,640.71,98.04
宜蘭市,新興里,158,114337,724,581,333,940,684.81,94.63
宜蘭市,大東里,162,115058,710,525,315,905,675.29,95.08
宜蘭市,民權里,559,440784,789,603,322,1030,721.63,91.52
宜蘭市,慈安里,1303,882368,677,538,338,859,519.1,76.66
宜蘭市,新民里,209,162293,777,530,268,888,1113.32,143.37
宜蘭市,東門里,137,124631,910,585,322,1080,937.22,103.02
宜蘭市,中正里,147,107414,731,564,344,974,634.16,86.79
宜蘭市,小東里,414,281425,680,521,314,927,524.73,77.19
宜蘭市,菜園里,385,280995,730,527,324,895,1018.43,139.54
宜蘭市,孝廉里,241,158537,658,512,326,845,536.79,81.6
宜蘭市,中山里,193,127925,663,533,319,822,555.93,83.87
宜蘭市,北門里,234,152226,651,541,322,841,465.76,71.6
宜蘭市,西門里,331,232530,703,557,313,901,583.24,83.02
宜蘭市,鄂王里,194,146416,755,584,318,966,704.33,93.32
宜蘭市,慶和里,191,124095,650,508,341,883,456.34,70.24
宜蘭市,凱旋里,471,353273,750,577,329,952,670.19,89.35
宜蘭市,南津里,403,354613,880,681,393,1120,749.09,85.13
宜蘭市,建業里,431,462305,1073,717,390,1384,1108.51,103.34
宜蘭市,南橋里,177,167069,944,661,350,1212,902.84,95.65
宜蘭市,進士里,1884,1622611,861,623,357,1095,904.83,105.06
宜蘭市,茭白里,685,449479,656,555,332,832,476.96,72.69
