101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：臺南市,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
東　區,路東里,513,527235,1028,666,366,1123,2004.5,195.04
東　區,大福里,538,405433,754,543,330,855,1808.86,240.03
東　區,東安里,488,423143,867,584,329,1077,983.26,113.4
東　區,德高里,798,616973,773,567,348,977,716.25,92.64
東　區,小東里,1424,1510054,1060,707,399,1300,1090.25,102.81
東　區,後甲里,886,664589,750,586,346,980,611.65,81.54
東　區,關聖里,1509,2341339,1552,1007,502,1850,3005.23,193.69
東　區,圍下里,724,769889,1063,660,350,1198,1283.82,120.73
東　區,虎尾里,1560,1436834,921,663,379,1154,1001,108.68
東　區,中西里,1150,1322539,1150,758,364,1499,1522.2,132.36
東　區,泉南里,1608,1814120,1128,663,385,1287,1845.85,163.61
東　區,龍山里,1727,2253342,1305,844,439,1589,1900.53,145.66
東　區,忠孝里,1384,1316024,951,676,372,1206,914.9,96.22
東　區,崇誨里,770,560030,727,582,327,939,612.9,84.27
東　區,大學里,517,734909,1421,921,447,1941,1369.77,96.36
東　區,大德里,453,320536,708,535,300,869,654.34,92.48
東　區,東光里,1843,2825012,1533,831,438,1590,7119.92,464.49
東　區,大智里,1967,1634542,831,622,361,1037,730.37,87.89
東　區,新東里,887,908971,1025,687,384,1345,1044.55,101.93
東　區,仁和里,1298,968293,746,613,356,960,581.59,77.96
東　區,富強里,1487,1311639,882,598,349,1087,972.09,110.21
東　區,衛國里,474,493979,1042,614,340,1041,2253.68,216.25
東　區,自強里,1795,1777788,990,672,380,1189,1320.59,133.34
東　區,崇善里,1663,1662019,999,720,397,1263,948.83,94.94
東　區,崇學里,1076,1107149,1029,649,353,1220,1235.04,120.03
東　區,崇明里,1446,1749596,1210,827,421,1599,1269.61,104.93
東　區,裕農里,1001,945332,944,631,357,1105,1289.66,136.56
東　區,莊敬里,1358,1454506,1071,752,409,1315,1064.23,99.36
東　區,和平里,1449,1436933,992,703,387,1250,936.09,94.4
東　區,富裕里,712,566325,795,561,344,1023,715.88,90
東　區,東明里,1185,1319120,1113,712,376,1375,1563.77,140.48
東　區,崇德里,1640,1537251,937,644,379,1121,1042.4,111.21
東　區,東智里,693,524650,757,614,374,950,596.59,78.8
東　區,東聖里,714,551637,773,598,364,924,724.85,93.82
東　區,崇成里,1004,1057590,1053,753,394,1324,1169.5,111.02
東　區,東門里,657,725581,1104,652,358,1172,3310.91,299.8
東　區,成大里,633,583675,922,629,349,1153,937.64,101.69
東　區,大同里,841,700563,833,538,298,981,1254.38,150.58
東　區,德光里,1472,1756054,1193,762,401,1390,3850.72,322.78
東　區,崇信里,1258,1115555,887,650,360,1132,944,106.45
東　區,崇文里,1956,1871080,957,718,402,1244,851.24,88.99
東　區,復興里,1080,889732,824,606,358,993,826.84,100.37
東　區,裕聖里,1523,2100950,1379,1115,577,1868,1139.82,82.63
東　區,文聖里,1434,1956912,1365,1035,549,1849,1224.08,89.7
東　區,南聖里,824,1196217,1452,957,486,1909,2484.36,171.13
東　區,其　他,5,3408,682,943,251,962,417.72,61.28
東　區,合　計,51424,53749048,1045,695,383,1268,1999.99,191.35
南　區,竹溪里,615,771077,1254,713,382,1493,1894.33,151.09
南　區,新昌里,678,509441,751,486,289,870,1327.24,176.64
南　區,田寮里,979,752260,768,565,330,891,890.61,115.9
南　區,荔宅里,10,2842,284,261,157,370,207.58,73.05
南　區,明亮里,991,643764,650,510,330,782,561.96,86.51
南　區,日新里,511,360869,706,506,314,795,1207.29,170.96
南　區,光明里,1056,646909,613,495,326,740,475.27,77.58
南　區,白雪里,450,291321,647,508,304,797,598.74,92.49
南　區,喜東里,542,373396,689,510,305,874,632.21,91.77
南　區,喜南里,238,146128,614,479,329,725,555.71,90.51
南　區,喜北里,496,287237,579,476,310,772,405.6,70.04
南　區,省躬里,651,420166,645,487,334,740,868.58,134.58
南　區,佛壇里,590,368978,625,493,329,803,480.55,76.84
南　區,同安里,547,343325,628,498,327,760,512.99,81.73
南　區,興農里,477,260258,546,419,276,671,628.12,115.12
南　區,明德里,83,45057,543,442,336,656,297.27,54.76
南　區,廣州里,690,568528,824,553,305,971,930.53,112.94
南　區,新興里,892,759970,852,582,316,1013,1022.35,120
南　區,大成里,264,214120,811,567,295,900,893.2,110.13
南　區,國宅里,803,551381,687,521,327,899,606.92,88.39
南　區,新生里,855,573157,670,531,321,869,560.66,83.64
南　區,大林里,724,750306,1036,651,364,1218,1272.06,122.75
南　區,大忠里,1270,933491,735,511,315,878,851.94,115.91
南　區,大恩里,1086,828984,763,568,348,951,698.22,91.47
南　區,明興里,917,595308,649,490,307,812,606.36,93.4
南　區,文華里,1034,836484,809,507,295,855,1729,213.73
南　區,再興里,759,659069,868,552,321,925,1477.38,170.14
南　區,金華里,1464,1153969,788,567,323,945,877.66,111.35
南　區,南都里,601,387554,645,517,327,821,515.65,79.96
南　區,開南里,1487,882117,593,487,322,737,435.08,73.34
南　區,彰南里,601,649674,1081,621,371,1181,1766.97,163.46
南　區,建南里,1411,975337,691,538,321,874,588.27,85.1
南　區,郡南里,1005,675063,672,517,331,829,568.96,84.7
南　區,府南里,1397,1043715,747,554,345,940,654.8,87.64
南　區,文南里,1724,1624831,942,606,354,1050,3500.04,371.37
南　區,鯤鯓里,325,183832,566,484,302,687,434.8,76.87
南　區,松安里,379,233054,615,484,324,747,469.57,76.36
南　區,永寧里,371,202972,547,467,291,698,410.82,75.09
南　區,南華里,599,351291,586,479,317,717,622.75,106.19
南　區,其　他,0,0,0,0,0,0,0,0
南　區,合　計,29572,21857237,739,527,324,865,1219.31,164.97
北　區,振興里,578,529869,917,580,357,1038,1162.5,126.81
北　區,新勝里,526,383105,728,492,318,891,702.55,96.46
北　區,開元里,648,466110,719,527,315,867,792.96,110.24
北　區,大道里,522,351062,673,557,321,896,544.56,80.97
北　區,大山里,103,59614,579,444,293,685,725.58,125.36
北　區,和順里,2478,2794420,1128,723,402,1307,1807.82,160.31
北　區,興北里,388,278773,718,545,347,905,642.61,89.44
北　區,興南里,494,442336,895,673,364,1104,926.77,103.5
北　區,六甲里,707,506494,716,541,330,879,640.38,89.39
北　區,安民里,332,243404,733,545,317,881,812.46,110.82
北　區,成功里,1524,1501008,985,686,384,1181,1343.18,136.38
北　區,文元里,2013,2054058,1020,739,417,1297,980.1,96.05
北　區,大港里,1611,1236740,768,556,337,920,844.46,110
北　區,大仁里,236,149320,633,549,339,818,437.77,69.19
北　區,國姓里,423,316840,749,530,302,850,771.5,103
北　區,實踐里,579,409402,707,564,351,914,582.02,82.31
北　區,延平里,418,274887,658,490,297,781,658.91,100.2
北　區,光武里,341,234372,687,562,317,877,536.92,78.12
北　區,勝安里,316,259822,822,522,340,893,1027.44,124.96
北　區,東興里,599,752062,1256,685,378,1374,1612.82,128.46
北　區,力行里,788,659795,837,570,345,994,863.4,103.12
北　區,裕民里,387,327909,847,540,301,989,1028.7,121.41
北　區,仁愛里,669,773597,1156,685,385,1414,1380.7,119.4
北　區,正覺里,822,672917,819,496,315,820,1568.96,191.66
北　區,正風里,371,252274,680,513,310,789,758.37,111.53
北　區,小康里,580,394750,681,483,313,777,700.21,102.88
北　區,華興里,643,477945,743,573,335,897,715.18,96.22
北　區,大豐里,1279,1000050,782,516,318,881,1094.01,139.92
北　區,重興里,709,858575,1211,719,403,1291,1845.45,152.39
北　區,國興里,497,427005,859,568,333,979,1452.35,169.04
