101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：嘉義市,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
東　區,中庄里,1003,855226,853,627,373,1049,798.6,93.66
東　區,頂庄里,774,697974,902,640,367,1212,804.03,89.16
東　區,王田里,883,885910,1003,705,385,1268,974.95,97.17
東　區,圳頭里,1220,1035366,849,631,359,1106,787.63,92.81
東　區,鹿寮里,220,184653,839,607,356,1022,827.24,98.56
東　區,盧厝里,507,600757,1185,751,402,1422,1585.26,133.79
東　區,短竹里,733,692098,944,659,377,1185,987.55,104.59
東　區,長竹里,921,1070677,1163,763,408,1405,1528.07,131.44
東　區,後庄里,1252,1046536,836,623,366,1066,719.05,86.02
東　區,東川里,626,664896,1062,723,379,1333,1097.96,103.37
東　區,太平里,1385,1466886,1059,748,421,1322,990.5,93.52
東　區,興南里,450,346057,769,555,319,955,730.3,94.97
東　區,豐年里,425,383553,902,656,336,1187,792.03,87.76
東　區,新開里,616,519529,843,620,335,1081,783.46,92.89
東　區,宣信里,405,315892,780,550,310,856,1711.35,219.41
東　區,芳草里,883,701700,795,558,350,967,995.29,125.24
東　區,安寮里,889,751627,845,625,349,1093,1003.61,118.7
東　區,興村里,1082,826052,763,582,363,983,737.84,96.65
東　區,頂寮里,731,574047,785,576,366,982,658.01,83.79
東　區,荖藤里,1104,889280,806,646,388,1039,659.43,81.86
東　區,後湖里,1036,766776,740,574,345,963,651.01,87.96
東　區,過溝里,711,584400,822,588,317,1080,786.96,95.74
東　區,民族里,408,308559,756,533,315,906,964.31,127.51
東　區,朝陽里,537,414199,771,564,319,924,763.33,98.96
東　區,華南里,585,427127,730,549,323,914,688.48,94.3
東　區,東興里,596,532748,894,573,299,1084,1097.83,122.82
東　區,中山里,654,651712,997,702,363,1196,1139.97,114.4
東　區,中央里,743,615622,829,542,287,944,1232.95,148.81
東　區,林森里,801,846025,1056,784,417,1424,961.84,91.06
東　區,北門里,748,609367,815,576,331,997,931.27,114.31
東　區,蘭潭里,594,552785,931,626,369,1140,927.67,99.68
東　區,文雅里,1094,1528610,1397,902,457,1736,3033.66,217.11
東　區,安業里,512,406786,795,608,365,1068,614.14,77.3
東　區,義教里,766,617716,806,602,373,1069,704.4,87.35
東　區,興安里,650,511045,786,602,364,1018,619.28,78.77
東　區,興仁里,1007,790137,785,606,362,976,664.19,84.65
東　區,新店里,1345,1381910,1027,695,373,1281,2304.19,224.27
東　區,仁義里,877,729517,832,612,362,1062,742.96,89.32
東　區,芳安里,633,548641,867,648,349,1122,792.12,91.39
東　區,其　他,100,131071,1311,890,511,1358,2124.28,162.07
東　區,合　計,30506,27463470,900,634,362,1119,1172.16,130.2
西　區,永和里,486,382935,788,557,319,950,870.91,110.53
西　區,新富里,499,373104,748,548,291,985,742.5,99.3
西　區,文化里,767,652005,850,597,319,1016,962.47,113.22
西　區,西榮里,672,518425,771,551,298,951,788.73,102.24
西　區,國華里,465,415679,894,606,329,1042,1103.31,123.42
