101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：南投縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
南投市,龍泉里,290,191678,661,495,291,820,614.57,92.98
南投市,康壽里,484,397927,822,592,338,999,970.49,118.04
南投市,三民里,256,217047,848,634,419,982,814.42,96.06
南投市,仁和里,177,133852,756,492,280,850,915.37,121.04
南投市,南投里,211,149005,706,492,287,836,749.52,106.14
南投市,彰仁里,133,92544,696,476,228,962,638.83,91.81
南投市,崇文里,317,242900,766,516,291,849,773.12,100.9
南投市,漳興里,844,671949,796,591,345,975,857.74,107.74
南投市,漳和里,2286,1804110,789,555,333,930,1911.35,242.19
南投市,軍功里,1324,941261,711,525,325,926,701.39,98.66
南投市,東山里,97,65109,671,463,308,781,768.44,114.48
南投市,平和里,1963,1496426,762,565,322,977,711.44,93.33
南投市,振興里,604,387600,642,514,291,823,529.67,82.54
南投市,千秋里,272,184940,680,525,325,869,543.42,79.92
南投市,三興里,1672,1314500,786,577,326,1038,688.45,87.57
南投市,三和里,1047,873768,835,630,351,1045,768,92.03
南投市,嘉興里,560,356039,636,485,308,774,621.42,97.74
南投市,嘉和里,1326,1017364,767,574,344,974,792.51,103.29
南投市,鳳鳴里,139,85712,617,497,364,729,474.39,76.93
南投市,鳳山里,277,175603,634,452,338,691,864.64,136.39
南投市,平山里,1592,1112039,699,522,328,867,840.84,120.38
南投市,新興里,1539,1004722,653,504,315,817,567.56,86.94
南投市,永豐里,881,796638,904,523,321,807,7374.46,815.54
南投市,福興里,853,603234,707,490,311,774,1551.55,219.4
南投市,營北里,2227,2319100,1041,734,412,1373,939.1,90.18
南投市,營南里,731,567566,776,545,324,971,786.52,101.3
南投市,內新里,437,325023,744,580,336,978,603.86,81.19
南投市,內興里,2071,1969436,951,674,396,1226,1283.86,135.01
南投市,光華里,359,305470,851,569,354,980,1075.29,126.37
南投市,光榮里,439,341256,777,604,361,955,776.29,99.86
南投市,光明里,419,337226,805,667,410,1056,565.59,70.27
南投市,光輝里,183,158584,867,589,362,1084,976.62,112.7
南投市,福山里,482,294822,612,486,316,751,524.08,85.68
南投市,永興里,163,111864,686,521,334,806,612.17,89.2
南投市,其　他,3,1840,613,633,438,798,359.98,58.69
南投市,合　計,26658,21048154,790,565,336,969,1664.83,210.86
埔里鎮,東門里,703,518922,738,505,301,902,983.67,133.26
埔里鎮,西門里,768,539126,702,525,324,912,653.54,93.1
埔里鎮,南門里,266,201298,757,567,263,992,712.9,94.2
埔里鎮,北門里,603,438916,728,535,323,912,699.26,96.07
埔里鎮,薰化里,300,209965,700,524,281,936,647.63,92.53
埔里鎮,清新里,794,542614,683,521,304,859,648.56,94.9
埔里鎮,同聲里,481,318750,663,479,289,799,911.49,137.55
埔里鎮,大城里,1389,990499,713,535,315,923,776.9,108.95
埔里鎮,籃城里,170,112059,659,484,276,812,551.09,83.6
埔里鎮,枇杷里,1668,1223591,734,531,320,926,702,95.7
埔里鎮,杷城里,613,438125,715,512,310,907,683.22,95.59
埔里鎮,水頭里,723,570265,789,493,316,834,2765.69,350.64
埔里鎮,麒麟里,151,85753,568,451,277,683,531.41,93.57
埔里鎮,珠格里,174,119896,689,542,297,852,672.41,97.58
埔里鎮,溪南里,194,127323,656,457,292,780,651.49,99.27
埔里鎮,桃米里,196,160830,821,507,294,769,1656.31,201.85
