101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：屏東縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
屏東市,勝豐里,107,65646,614,475,270,884,535.67,87.31
屏東市,金泉里,173,111957,647,485,246,832,601.21,92.9
屏東市,慶春里,93,90189,970,454,290,908,3056.04,315.13
屏東市,平和里,228,163998,719,510,233,835,822.28,114.32
屏東市,楠樹里,143,97882,684,590,330,866,500.87,73.17
屏東市,扶風里,167,122749,735,506,316,803,774.28,105.34
屏東市,橋南里,426,358241,841,616,383,998,910.55,108.28
屏東市,橋北里,254,182790,720,557,322,947,616.82,85.71
屏東市,長春里,621,552441,890,628,374,1169,791.55,88.98
屏東市,豐田里,1347,1183021,878,646,379,1111,766.33,87.25
屏東市,安樂里,157,143942,917,526,299,1251,1076.96,117.47
屏東市,歸心里,232,161171,695,541,300,836,722.24,103.96
屏東市,湖西里,328,237335,724,568,328,922,580.79,80.27
屏東市,瑞光里,2185,1890179,865,646,376,1130,714.55,82.6
屏東市,湖南里,264,178311,675,532,325,849,557.42,82.53
屏東市,長安里,377,235892,626,493,311,825,482.08,77.04
屏東市,厚生里,685,433657,633,516,305,761,540.1,85.31
屏東市,大湖里,392,282257,720,560,351,898,585.96,81.38
屏東市,頂宅里,96,52106,543,408,277,721,416.98,76.82
屏東市,新生里,1456,1114927,766,601,360,1002,621.81,81.2
屏東市,永安里,1865,1401927,752,581,353,987,610.79,81.25
屏東市,萬年里,164,100103,610,461,297,773,503.45,82.48
屏東市,安鎮里,456,310960,682,548,317,876,532.33,78.06
屏東市,永昌里,44,28675,652,485,294,922,790.47,121.29
屏東市,光華里,190,130456,687,515,286,914,779.8,113.57
屏東市,一心里,409,357557,874,665,336,1160,732.18,83.75
屏東市,義勇里,393,426049,1084,804,412,1377,1505.5,138.87
屏東市,公館里,334,253014,758,586,363,934,669.06,88.32
屏東市,龍華里,490,349039,712,546,321,939,613.27,86.09
屏東市,玉成里,292,209646,718,565,368,895,543.26,75.67
屏東市,新興里,693,554902,801,701,407,1074,533.81,66.67
屏東市,頂柳里,237,153358,647,496,293,771,547.74,84.65
屏東市,擇仁里,199,123522,621,480,297,828,507.46,81.75
屏東市,清溪里,1135,851696,750,612,356,960,584.31,77.87
屏東市,前進里,643,425954,662,537,316,834,572.95,86.49
屏東市,大洲里,264,165518,627,473,302,716,579.79,92.48
屏東市,永光里,245,151508,618,527,313,768,487.66,78.86
屏東市,永順里,65,43457,669,601,322,844,513.19,76.76
屏東市,大埔里,171,113244,662,533,289,874,570.93,86.21
屏東市,大同里,209,147569,706,492,252,998,644.62,91.3
屏東市,文明里,115,100833,877,641,369,1159,761.11,86.8
屏東市,光榮里,212,159385,752,577,314,924,648.28,86.23
屏東市,端正里,101,87497,866,552,313,1125,938.57,108.34
屏東市,武廟里,148,127565,862,579,313,1076,938.35,108.87
屏東市,必信里,154,105003,682,576,308,931,517.04,75.83
屏東市,崇禮里,90,70184,780,527,315,832,870.27,111.6
屏東市,崇智里,129,73898,573,425,247,706,524.86,91.62
屏東市,民權里,171,121261,709,569,288,834,694.97,98
屏東市,維新里,650,414123,637,542,328,777,506.08,79.43
屏東市,斯文里,580,489131,843,607,336,1077,834.85,99
屏東市,泰安里,202,175754,870,580,342,1037,1073.12,123.34
屏東市,仁義里,258,177677,689,538,331,861,625.29,90.8
屏東市,三山里,284,181617,639,490,321,822,508.46,79.51
屏東市,海豐里,194,142442,734,570,332,917,623.96,84.98
屏東市,和興里,180,107643,598,520,297,735,431.34,72.13
屏東市,崇蘭里,3232,2825366,874,684,409,1128,758.86,86.81
屏東市,空翔里,339,280974,829,662,399,1060,764.59,92.25
屏東市,廣興里,438,296616,677,547,309,836,631.59,93.26
屏東市,潭墘里,2991,2263385,757,610,360,999,600.5,79.35
屏東市,明正里,253,248978,984,561,336,1140,2277.13,231.39
屏東市,溝美里,717,577450,805,609,356,1015,776.26,96.38
屏東市,勝利里,1380,1074938,779,612,360,996,671.75,86.24
屏東市,永城里,513,362057,706,559,308,895,636.26,90.15
屏東市,北勢里,719,578564,805,590,349,1056,739.47,91.9
屏東市,華山里,1466,1176922,803,619,374,1022,653.36,81.38
屏東市,太平里,234,200892,859,659,393,1065,811.03,94.47
屏東市,興樂里,238,189110,795,545,333,979,814.58,102.52
屏東市,大武里,2277,1732158,761,580,350,968,654.85,86.08
屏東市,建國里,212,159197,751,554,322,960,704.53,93.82
屏東市,崇武里,746,544099,729,606,337,927,568.82,77.99
屏東市,凌雲里,125,79996,640,576,257,899,487.18,76.13
屏東市,鵬程里,174,154621,889,811,566,1074,477.5,53.73
屏東市,豐榮里,819,713192,871,627,349,1151,851.5,97.78
屏東市,信和里,339,228361,674,549,349,830,494.85,73.46
屏東市,豐源里,1326,1125627,849,643,385,1094,707.5,83.34
屏東市,大連里,3492,3226894,924,683,394,1194,874.44,94.63
屏東市,仁愛里,712,584684,821,628,371,1072,695.14,84.65
