101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：澎湖縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
馬公市,長安里,164,177943,1085,625,301,1155,1583.72,145.96
馬公市,復興里,156,135581,869,762,527,1087,602.31,69.3
馬公市,新復里,0,0,0,0,0,0,0,0
馬公市,中央里,152,124123,817,656,356,1117,662.37,81.11
馬公市,啓明里,275,245127,891,638,332,1143,951.65,106.76
馬公市,重慶里,318,254064,799,549,287,982,923.53,115.59
馬公市,光復里,602,524009,870,674,402,1063,825.99,94.89
馬公市,光明里,383,348879,911,756,423,1242,666.74,73.19
馬公市,重光里,414,386551,934,761,479,1236,680.44,72.88
馬公市,西衛里,1213,1159429,956,758,461,1260,702.79,73.53
馬公市,朝陽里,1703,1507858,885,712,415,1210,673.01,76.01
馬公市,東文里,888,740827,834,722,392,1139,614.3,73.63
馬公市,西文里,938,833062,888,701,415,1197,691.46,77.86
馬公市,案山里,518,445442,860,777,483,1057,582.23,67.71
馬公市,光華里,189,180937,957,904,673,1201,512.7,53.56
馬公市,前寮里,239,260589,1090,791,514,1306,1006.24,92.29
馬公市,石泉里,690,617490,895,773,483,1138,587.14,65.61
馬公市,菜園里,81,67660,835,729,459,1071,513.9,61.52
馬公市,東衛里,521,445338,855,730,456,1120,589.35,68.95
馬公市,安宅里,132,109922,833,671,469,1095,530.11,63.66
馬公市,烏崁里,223,158959,713,643,392,908,469.03,65.8
馬公市,興仁里,263,197809,752,662,401,895,545.9,72.58
馬公市,鐵線里,125,92683,741,575,319,963,672.12,90.65
馬公市,山水里,319,243185,762,597,389,932,589.6,77.34
馬公市,鎖港里,499,360355,722,640,370,931,524.04,72.57
馬公市,井垵里,64,42204,659,592,344,874,470.75,71.39
馬公市,蒔裡里,258,177525,688,568,359,906,490.09,71.23
馬公市,風櫃里,211,123326,584,528,337,763,354.45,60.64
馬公市,虎井里,132,103534,784,553,341,1080,654.6,83.46
馬公市,桶盤里,44,25575,581,505,330,694,437.6,75.28
馬公市,中興里,265,241719,912,780,463,1177,728.21,79.83
馬公市,五德里,63,46951,745,659,463,846,749.79,100.61
馬公市,光榮里,1264,1178533,932,746,425,1236,738.5,79.21
馬公市,陽明里,781,744272,953,724,399,1238,843.64,88.53
馬公市,其　他,0,0,0,0,0,0,0,0
馬公市,合　計,14087,12301461,873,706,413,1135,706.85,80.94
湖西鄉,湖西村,271,217568,803,649,389,1060,587.44,73.17
湖西鄉,湖東村,76,62628,824,675,351,944,1048.84,127.28
湖西鄉,南寮村,109,81076,744,535,342,875,678,91.15
湖西鄉,白坑村,39,20872,535,425,272,589,467.08,87.28
湖西鄉,青螺村,38,28386,747,509,374,770,696.28,93.21
湖西鄉,紅羅村,154,111576,725,597,344,897,546.61,75.44
湖西鄉,西溪村,152,111850,736,668,436,872,419.68,57.03
湖西鄉,沙港村,170,143232,843,633,354,1028,1112.05,131.99
湖西鄉,成功村,170,136051,800,629,430,1033,550.44,68.78
