area,year,adm,total,avg,mid,mid1,mid3,sd,cv
台中市西區,2006,29147,29696305,1019,628,345,1182,2575.76,252.81
台中市西區,2007,30046,32368291,1077,640,347,1209,3370.45,312.86
台中市西區,2008,30551,33123144,1084,653,354,1227,2699.17,248.96
台中市西區,2009,30091,29197970,970,602,327,1133,2001.05,206.23
台中市西區,2010,31035,31348715,1010,609,322,1152,2471.63,244.69
台中市西區,2011,31841,34342746,1079,635,338,1205,2450.86,227.23
台中市西區,2012,32949,35998323,1093,658,352,1253,2361.29,216.13
台中市西區,2013,33124,35664862,1077,638,338,1220,2993.5,278.02
台中市西區,2014,33447,39927934,1194,659,348,1263,5487.52,459.68
台中市西區,2015,33782,37854441,1121,663,350,1267,3032.66,270.64
台中市西區,2016,34180,37820781,1107,655,347,1255,2867.82,259.18
台中市南區,2002,24610,18650638,758,564,333,954,706.4,93.21
台中市南區,2003,25064,19843155,792,561,330,947,1847.57,233.37
台中市南區,2004,25905,20141425,778,568,331,971,781.14,100.47
台中市南區,2005,26970,21514943,798,577,332,1002,844.41,105.85
台中市南區,2006,27732,22373028,807,582,334,1010,903.96,112.05
台中市南區,2007,34147,28233423,827,587,347,1020,1043.8,126.24
台中市南區,2008,29332,24809152,846,603,349,1052,963.28,113.89
台中市南區,2009,29050,22566587,777,564,325,987,801.93,103.23
台中市南區,2010,29786,23805511,799,581,327,1010,833.32,104.27
台中市南區,2011,30885,25832689,836,606,339,1055,900.28,107.64
台中市南區,2012,32853,28736168,875,632,357,1110,886.24,101.32
台中市南區,2013,33709,28760387,853,614,348,1087,836.41,98.03
台中市南區,2014,34866,30653666,879,631,350,1123,934.53,106.29
台中市南區,2015,36450,32008492,878,635,352,1124,862.03,98.16
台中市南區,2016,35903,32173532,896,648,362,1146,907.42,101.26
台中市北區,2002,31897,26878165,843,568,326,1016,1491.9,177.05
台中市北區,2003,31949,27307268,855,555,313,992,2450.29,286.68
台中市北區,2004,32689,28070735,859,560,318,1007,1902.29,221.53
台中市北區,2005,33060,28857432,873,570,322,1025,1859.61,213.04
台中市北區,2006,33443,29213760,874,566,324,1022,1985.8,227.33
台中市北區,2007,39161,34079264,870,567,330,1020,1927.39,221.48
台中市北區,2008,35165,32184212,915,587,337,1064,2260.34,246.97
台中市北區,2009,34392,28101669,817,549,311,978,1426.76,174.61
台中市北區,2010,35390,30008842,848,556,307,999,1704.75,201.04
台中市北區,2011,36255,32083061,885,576,323,1040,1871.16,211.45
台中市北區,2012,38217,34927557,914,601,336,1086,1999.31,218.76
台中市北區,2013,38674,34345258,888,582,326,1049,1975.57,222.46
台中市北區,2014,39026,36991413,948,601,332,1093,3397.3,358.42
台中市北區,2015,39599,36930773,933,602,336,1086,4276.76,458.58
台中市北區,2016,40521,37944730,936,598,334,1075,5226.85,558.17
台中市西屯區,2002,40310,35094449,871,593,343,1025,3130,359.52
台中市西屯區,2003,41149,35931638,873,587,337,1023,2782.13,318.61
台中市西屯區,2004,43153,38437099,891,599,342,1055,1737.1,195.02
台中市西屯區,2005,44571,41174922,924,613,344,1100,1666.45,180.39
台中市西屯區,2006,46080,42899798,931,612,347,1098,1651.4,177.38
台中市西屯區,2007,59616,56164736,942,613,358,1097,1871.42,198.64
台中市西屯區,2008,49715,49642791,999,640,363,1155,2022.48,202.54
台中市西屯區,2009,49734,45402699,913,598,338,1073,1544.99,169.24
台中市西屯區,2010,52323,49738610,951,609,334,1113,1814.52,190.88
台中市西屯區,2011,54934,55963920,1019,641,349,1176,2097.12,205.85
台中市西屯區,2012,59361,62535271,1053,660,357,1220,2395.8,227.42
台中市西屯區,2013,60806,63948279,1052,648,351,1210,2681.43,254.97
台中市西屯區,2014,62001,74093011,1195,679,367,1269,5667.32,474.24
台中市西屯區,2015,63171,70957103,1123,690,375,1293,2584.39,230.08
台中市西屯區,2016,64393,73536005,1142,696,381,1295,2873.75,251.64
台中市南屯區,2002,30643,26595274,868,624,354,1079,1139.76,131.32
台中市南屯區,2003,31601,27896488,883,617,350,1079,1424.59,161.38
台中市南屯區,2004,32877,29720024,904,632,360,1118,1272.06,140.72
台中市南屯區,2005,33998,32358676,952,645,365,1161,1924.45,202.19
台中市南屯區,2006,35391,34265453,968,658,367,1174,1762.84,182.07
台中市南屯區,2007,37006,36891803,997,666,373,1213,1470.23,147.48
台中市南屯區,2008,38154,38617122,1012,676,380,1234,1435.91,141.87
台中市南屯區,2009,38078,35963258,944,638,356,1154,1468.38,155.47
台中市南屯區,2010,39965,39102512,978,647,355,1192,1596.4,163.16
台中市南屯區,2011,41873,43910043,1049,678,367,1256,2130.95,203.21
台中市南屯區,2012,44075,48111124,1092,718,386,1325,2028.96,185.87
台中市南屯區,2013,45310,48984482,1081,692,371,1291,2406.58,222.61
台中市南屯區,2014,45986,53356968,1160,725,386,1348,3162.11,272.53
台中市南屯區,2015,46790,53070947,1134,731,393,1366,2211.45,194.97
台中市南屯區,2016,47862,54673170,1142,730,394,1365,2887.94,252.82
台中市北屯區,2002,46652,35409715,759,557,326,946,787.43,103.74
台中市北屯區,2003,47558,36417457,766,549,320,941,1725.56,225.34
台中市北屯區,2004,49752,39032689,785,559,325,965,1181.8,150.64
台中市北屯區,2005,51427,41990868,817,571,331,999,1397.11,171.11
台中市北屯區,2006,53080,43360634,817,571,332,1003,1423.71,174.28
台中市北屯區,2007,55383,47066722,850,580,338,1028,1633.36,192.2
台中市北屯區,2008,56735,49112793,866,592,342,1047,2011.7,232.39
台中市北屯區,2009,56167,44110073,785,552,318,969,1208.08,153.83
台中市北屯區,2010,58685,47486864,809,564,317,997,1147.4,141.8
台中市北屯區,2011,61296,52537027,857,588,331,1045,1321.31,154.16
台中市北屯區,2012,66205,59283944,895,613,345,1098,1377.99,153.89
台中市北屯區,2013,68013,59443694,874,597,334,1075,1304.25,149.23
台中市北屯區,2014,69660,64598537,927,623,347,1127,1563.39,168.59
台中市北屯區,2015,72435,66807591,922,627,346,1130,1490.98,161.66
台中市北屯區,2016,75261,68504321,910,625,347,1126,1162.16,127.68
台中市其他,2002,522,358364,687,496,304,754,781.18,113.79
台中市其他,2003,327,253227,774,553,344,956,731.01,94.4
台中市其他,2004,239,185706,777,509,304,948,1042.71,134.19
台中市其他,2005,255,236229,926,581,308,959,2661.67,287.32
台中市其他,2006,197,161381,819,532,343,931,991.99,121.09
台中市其他,2007,221,140336,635,447,250,773,675.9,106.44
台中市其他,2008,15,10605,707,297,170,748,923.68,130.65
台中市其他,2009,18,8679,482,309,195,491,501.23,103.96
台中市其他,2010,162,108859,672,545,303,851,582.87,86.74
台中市其他,2011,145,137827,951,637,373,1050,1047.25,110.18
台中市其他,2012,329,299999,912,608,345,1095,1047.21,114.84
台中市其他,2013,119,100853,848,666,359,1051,760.49,89.73
台中市其他,2014,72,67734,941,663,348,1081,1145.35,121.75
台中市其他,2015,59,80882,1371,833,402,1252,1657.94,120.94
台中市其他,2016,50,42157,843,685,313,1202,676.89,80.28
基隆市中正區,2002,14134,8943626,633,500,311,791,569.39,89.98
基隆市中正區,2003,13839,8639628,624,492,301,776,593.75,95.11
基隆市中正區,2004,14273,9242445,648,506,309,798,619.76,95.71
基隆市中正區,2005,14088,9459257,671,519,319,832,612.05,91.16
基隆市中正區,2006,14082,9675877,687,525,325,848,684.82,99.67
基隆市中正區,2007,17728,13151884,742,544,337,902,943.81,127.22
基隆市中正區,2008,14286,10303430,721,542,337,874,850.15,117.88
基隆市中正區,2009,13656,9275076,679,517,325,837,668.59,98.44
基隆市中正區,2010,13567,9338562,688,522,316,846,799.12,116.1
基隆市中正區,2011,13665,9747604,713,538,328,875,744.32,104.34
基隆市中正區,2012,14100,10323046,732,555,343,908,809.1,110.51
基隆市中正區,2013,13804,10022003,726,542,338,896,1039.05,143.11
基隆市中正區,2014,13855,10278283,742,563,349,921,911.84,122.91
基隆市中正區,2015,13748,10321049,751,567,355,929,886.52,118.09
基隆市中正區,2016,13885,10503174,756,569,353,932,944.63,124.88
基隆市中山區,2002,13300,8529185,641,524,324,818,492.03,76.73
基隆市中山區,2003,13164,8346982,634,513,321,812,485.35,76.54
基隆市中山區,2004,13348,8740071,655,528,335,830,503.86,76.95
基隆市中山區,2005,13250,8937115,674,533,336,862,550.86,81.67
基隆市中山區,2006,13144,9001403,685,539,339,869,570.25,83.27
基隆市中山區,2007,8579,6025779,702,557,342,897,583.82,83.12
基隆市中山區,2008,13140,9408300,716,557,355,905,592.14,82.7
基隆市中山區,2009,12690,8706913,686,537,338,877,578.94,84.38
基隆市中山區,2010,12694,8797654,693,538,332,879,633.43,91.4
基隆市中山區,2011,12713,9195706,723,553,344,913,687.86,95.1
基隆市中山區,2012,13227,9714168,734,568,356,923,659.35,89.78
基隆市中山區,2013,12952,9344202,721,553,349,916,638.08,88.44
基隆市中山區,2014,12937,9580067,741,564,358,938,667.59,90.15
基隆市中山區,2015,12893,9620796,746,571,360,945,693.75,92.97
基隆市中山區,2016,12957,9713091,750,575,364,942,693.29,92.48
基隆市信義區,2002,13334,9776092,733,573,351,934,689.87,94.09
基隆市信義區,2003,13397,9695229,724,559,339,925,624.4,86.28
基隆市信義區,2004,13745,10159878,739,569,345,947,636.08,86.05
基隆市信義區,2005,13726,10500648,765,581,350,974,733.68,95.9
基隆市信義區,2006,13726,10647203,776,583,352,981,1086.41,140.06
基隆市信義區,2007,14845,11759141,792,591,358,1000,729.42,92.08
基隆市信義區,2008,14301,11426273,799,595,357,1018,746.3,93.41
基隆市信義區,2009,13916,10550408,758,570,348,980,690.34,91.06
基隆市信義區,2010,14068,10708747,761,565,334,971,799.76,105.06
基隆市信義區,2011,14501,11375060,784,578,347,996,925.12,117.93
基隆市信義區,2012,15077,12093327,802,596,358,1023,842.72,105.06
基隆市信義區,2013,15035,11787000,784,583,349,1006,717.44,91.51
基隆市信義區,2014,15223,12482122,820,598,361,1028,1392.39,169.81
基隆市信義區,2015,15282,12413707,812,603,367,1037,756.12,93.08
基隆市信義區,2016,15475,12529328,810,601,368,1023,752.24,92.91
基隆市七堵區,2002,14415,9491024,658,519,326,831,561.87,85.34
基隆市七堵區,2003,14514,9428590,650,510,322,809,613.18,94.39
基隆市七堵區,2004,14848,9873513,665,517,328,823,592.42,89.09
基隆市七堵區,2005,14734,10217424,693,524,328,847,874.02,126.04
基隆市七堵區,2006,14641,10323689,705,531,336,869,785.35,111.38
基隆市七堵區,2007,17903,12661740,707,525,334,860,745.8,105.45
基隆市七堵區,2008,15047,10889581,724,545,342,891,757.16,104.62
基隆市七堵區,2009,14753,10007947,678,522,327,845,634.13,93.48
基隆市七堵區,2010,15151,10437484,689,522,320,849,705.95,102.48
基隆市七堵區,2011,14917,10724973,719,542,336,886,704.29,97.96
基隆市七堵區,2012,15447,11275193,730,554,348,906,664.01,90.97
基隆市七堵區,2013,15636,11125602,712,535,335,883,668.91,94.01
基隆市七堵區,2014,15499,11658982,752,564,355,927,756.27,100.54
基隆市七堵區,2015,15563,11838075,761,572,361,934,721.12,94.8
基隆市七堵區,2016,15767,11867334,753,571,361,932,697.39,92.66
基隆市暖暖區,2002,9454,6468788,684,548,337,869,529.88,77.44
基隆市暖暖區,2003,9403,6391534,680,544,336,862,534.97,78.7
基隆市暖暖區,2004,9601,6732666,701,554,344,882,578.12,82.44
基隆市暖暖區,2005,9585,6827991,712,556,341,905,595.46,83.59
基隆市暖暖區,2006,9630,6991241,726,562,343,924,617.6,85.07
基隆市暖暖區,2007,9924,7411108,747,570,350,949,673.85,90.23
基隆市暖暖區,2008,9787,7370259,753,574,347,957,667.98,88.7
基隆市暖暖區,2009,9534,6786605,712,554,343,901,608.81,85.53
