area,year,adm,total,avg,mid,mid1,mid3,sd,cv
台北市松山區,2002,64170,80381992,1253,736,397,1406,6931.76,553.37
台北市松山區,2003,64176,81170426,1265,714,383,1372,9633.89,761.69
台北市松山區,2004,65275,84802891,1299,736,395,1425,11810.7,909.1
台北市松山區,2005,66128,87887082,1329,761,408,1483,7620.03,573.35
台北市松山區,2006,66845,90942929,1361,773,412,1496,8945.63,657.52
台北市松山區,2007,67812,103839906,1531,795,421,1557,28760.69,1878.2
台北市松山區,2008,68210,118494820,1737,808,428,1576,56341.57,3243.23
台北市松山區,2009,66360,84779936,1278,737,391,1425,8682.36,679.6
台北市松山區,2010,67438,95966671,1423,750,387,1486,18203.71,1279.22
台北市松山區,2011,69228,108289244,1564,791,406,1566,30756.14,1966.2
台北市松山區,2012,70899,105083113,1482,798,409,1593,16939.44,1142.89
台北市松山區,2013,70513,99643800,1413,785,400,1554,7425.61,525.47
台北市松山區,2014,71102,121144639,1704,810,408,1614,31890.1,1871.69
台北市松山區,2015,70942,102271664,1442,816,413,1619,4544.14,315.21
台北市松山區,2016,70680,107668283,1523,814,413,1615,11235.62,737.57
台北市大安區,2002,103521,150782084,1457,794,409,1570,7420.08,509.43
台北市大安區,2003,102265,150922854,1476,768,393,1543,6765.01,458.4
台北市大安區,2004,103147,154908326,1502,795,405,1607,6878.42,458.01
台北市大安區,2005,104434,165488420,1585,825,417,1687,6946.41,438.36
台北市大安區,2006,105139,167701601,1595,829,421,1691,6522.25,408.91
台北市大安區,2007,106046,179375827,1691,853,430,1751,7551.26,446.43
台北市大安區,2008,106263,184733675,1738,869,438,1789,7294.59,419.6
台北市大安區,2009,103780,155054878,1494,784,395,1613,6254.25,418.6
台北市大安區,2010,105263,175782593,1670,806,392,1686,9752.3,583.99
台北市大安區,2011,106998,190198167,1778,851,415,1761,9715.94,546.58
台北市大安區,2012,108116,190275097,1760,859,421,1770,9966.32,566.3
台北市大安區,2013,107673,179997217,1672,835,411,1711,8433.38,504.48
台北市大安區,2014,108076,208584447,1930,864,422,1787,16401.47,849.83
台北市大安區,2015,108092,188947855,1748,867,427,1789,10614.48,607.23
台北市大安區,2016,108104,186087350,1721,861,419,1776,10375.77,602.76
台北市中正區,2002,47187,56046390,1188,705,378,1367,8424.73,709.3
台北市中正區,2003,46591,55265000,1186,684,365,1331,11197.67,944.02
台北市中正區,2004,47153,58804807,1247,706,377,1383,10338.61,829.01
台北市中正區,2005,47664,64369350,1350,738,393,1456,13814.84,1022.96
台北市中正區,2006,47996,62903790,1311,751,398,1476,7224.59,551.24
台北市中正區,2007,48543,70006025,1442,770,408,1532,19740.21,1368.81
台北市中正區,2008,49048,75774005,1545,791,417,1565,32562.65,2107.76
台北市中正區,2009,48141,61089906,1269,725,383,1432,13161.43,1037.17
台北市中正區,2010,49205,67929172,1381,739,381,1484,17459.51,1264.69
台北市中正區,2011,50465,73613255,1459,787,403,1566,13434.46,920.99
台北市中正區,2012,51724,77121801,1491,809,414,1598,18793.58,1260.45
台北市中正區,2013,52213,75583077,1448,790,401,1566,18854.22,1302.45
台北市中正區,2014,52966,84642128,1598,815,412,1624,24551.42,1536.34
台北市中正區,2015,52896,85359461,1614,822,418,1632,38584.1,2391
台北市中正區,2016,52709,87414207,1658,816,411,1624,45219.35,2726.64
台北市萬華區,2002,50470,37441191,742,534,326,881,1515.81,204.33
台北市萬華區,2003,49489,36453524,737,522,316,868,1927.05,261.61
台北市萬華區,2004,49809,37311919,749,530,319,891,1233.45,164.66
台北市萬華區,2005,49587,39031869,787,544,329,918,1543.73,196.12
台北市萬華區,2006,49971,39838711,797,549,332,928,1692.05,212.24
台北市萬華區,2007,50534,41786299,827,556,336,956,1898.99,229.65
台北市萬華區,2008,50307,42664002,848,566,340,972,2203.39,259.81
台北市萬華區,2009,48440,37057158,765,533,318,911,1528.4,199.79
台北市萬華區,2010,49704,39721295,799,544,320,945,1931.98,241.75
台北市萬華區,2011,51089,43685161,855,576,337,1000,1724.74,201.7
台北市萬華區,2012,52970,46452903,877,598,346,1041,1848.43,210.78
台北市萬華區,2013,53457,46038117,861,583,341,1029,1813.01,210.52
台北市萬華區,2014,55136,49836992,904,599,346,1069,2056.59,227.53
台北市萬華區,2015,55078,49991910,908,612,355,1090,2312.28,254.75
台北市萬華區,2016,55401,50615298,914,615,356,1100,2563.72,280.61
台北市大同區,2002,36377,30143185,829,552,327,948,1625.96,196.22
台北市大同區,2003,35986,30378336,844,534,316,921,2545.78,301.57
台北市大同區,2004,36333,30922435,851,545,320,947,2184.56,256.68
台北市大同區,2005,36289,33384362,920,564,331,991,2603.37,282.99
台北市大同區,2006,36447,33637005,923,576,334,1020,2475.29,268.21
台北市大同區,2007,37081,35167786,948,586,340,1049,2268.63,239.21
台北市大同區,2008,37118,36410814,981,598,348,1079,2370.33,241.64
台北市大同區,2009,36049,31229470,866,559,322,993,1694.55,195.61
台北市大同區,2010,37039,34285731,926,576,326,1038,2238.31,241.81
台北市大同區,2011,38318,38534423,1006,608,346,1109,2945.14,292.86
台北市大同區,2012,39758,40555607,1020,627,352,1145,2685.13,263.23
台北市大同區,2013,40263,40346225,1002,613,345,1127,2840.28,283.44
台北市大同區,2014,41077,45346329,1104,632,356,1177,5222.64,473.09
台北市大同區,2015,40930,43716538,1068,647,364,1205,3379.16,316.38
台北市大同區,2016,40851,42419721,1038,650,366,1207,1956.26,188.39
台北市中山區,2002,65886,72657613,1103,636,359,1172,6373.04,577.91
台北市中山區,2003,65774,72904515,1108,615,343,1150,5243.37,473.05
台北市中山區,2004,67492,77696697,1151,635,355,1202,4913.37,426.8
台北市中山區,2005,68869,85134088,1236,660,366,1251,6859.67,554.91
台北市中山區,2006,69685,89029072,1278,666,370,1277,7739.72,605.8
台北市中山區,2007,70637,89995133,1274,682,377,1317,4883.97,383.34
台北市中山區,2008,71521,96120461,1344,699,383,1344,7444.14,553.9
台北市中山區,2009,70496,80562175,1143,642,351,1223,5732.13,501.59
台北市中山區,2010,72732,94971281,1306,660,353,1280,12112.89,927.64
台北市中山區,2011,75195,107201172,1426,696,372,1350,13138.01,921.55
台北市中山區,2012,77544,106474571,1373,713,381,1372,10803.9,786.83
台北市中山區,2013,78338,102814853,1312,700,372,1351,5470.25,416.8
台北市中山區,2014,79545,128794437,1619,720,379,1404,19456.14,1201.64
台北市中山區,2015,79982,110995726,1388,731,385,1413,6084.52,438.44
台北市中山區,2016,80419,111205179,1383,730,381,1415,5591.4,404.35
台北市文山區,2002,72749,73042905,1004,691,394,1256,1558.96,155.27
台北市文山區,2003,72267,72232392,1000,679,387,1249,1640.1,164.09
台北市文山區,2004,73699,75987803,1031,699,395,1282,1501.5,145.63
台北市文山區,2005,74965,79895932,1066,711,399,1326,1588.96,149.09
台北市文山區,2006,75726,81773224,1080,714,400,1346,1505.36,139.4
台北市文山區,2007,77136,87166990,1130,728,406,1382,1747.88,154.67
台北市文山區,2008,77962,89085706,1143,737,410,1396,1856.65,162.48
台北市文山區,2009,76362,80844176,1059,692,384,1312,1657.35,156.55
台北市文山區,2010,78453,87146117,1111,707,386,1348,1871.54,168.48
台北市文山區,2011,81129,94261442,1162,735,401,1402,2102.67,180.97
台北市文山區,2012,84072,100053077,1190,765,416,1457,2479.31,208.33
台北市文山區,2013,85216,98690239,1158,744,402,1423,2304.44,198.98
台北市文山區,2014,86929,106246432,1222,763,410,1470,2965.94,242.67
台北市文山區,2015,87828,105969239,1207,769,415,1477,2557.24,211.95
台北市文山區,2016,88797,106667323,1201,763,410,1477,2345.03,195.22
台北市南港區,2002,31701,24934563,787,573,351,959,1936.32,246.18
台北市南港區,2003,31520,24850507,788,563,347,948,3180.54,403.41
台北市南港區,2004,32134,25483376,793,569,348,969,883.55,111.41
台北市南港區,2005,32511,26917130,828,584,354,1011,924.07,111.61
台北市南港區,2006,33111,28153529,850,591,358,1031,1031.9,121.36
台北市南港區,2007,33855,30187443,892,604,362,1065,1125.73,126.25
台北市南港區,2008,34182,31435250,920,618,373,1091,1252.96,136.24
台北市南港區,2009,33594,29024998,864,587,354,1034,1292.21,149.56
台北市南港區,2010,34633,31390129,906,600,351,1083,1440.62,158.95
台北市南港區,2011,35825,34377885,960,637,370,1146,1325.89,138.17
台北市南港區,2012,37421,38050114,1017,666,387,1209,2406.24,236.65
台北市南港區,2013,37965,38708344,1020,656,376,1202,2619.47,256.92
台北市南港區,2014,39152,41649270,1064,675,381,1246,2494.63,234.51
台北市南港區,2015,39616,42686628,1078,684,388,1273,2232.8,207.22
台北市南港區,2016,40022,43678158,1091,689,392,1281,2399.36,219.85
台北市內湖區,2002,72072,73398267,1018,687,392,1238,1537.19,150.94
台北市內湖區,2003,72771,75010507,1031,675,385,1229,2001.69,194.19
台北市內湖區,2004,74791,80222633,1073,690,392,1271,2061.37,192.18
台北市內湖區,2005,76313,84170820,1103,707,397,1310,1987.6,180.21
台北市內湖區,2006,77483,87369487,1128,716,400,1338,2007.4,178.02
台北市內湖區,2007,79531,93268911,1173,726,403,1374,2054.31,175.17
台北市內湖區,2008,81020,97027539,1198,733,407,1397,2197.82,183.52
台北市內湖區,2009,80287,87903545,1095,690,385,1302,1848.23,168.81
台北市內湖區,2010,83603,98210184,1175,705,387,1348,2561.74,218.07
台北市內湖區,2011,87007,107062768,1231,741,406,1420,2445.94,198.77
台北市內湖區,2012,90608,113005501,1247,765,420,1469,2671.09,214.17
台北市內湖區,2013,92749,112400854,1212,744,404,1431,2088.71,172.35
台北市內湖區,2014,94680,124274328,1313,767,414,1482,3118.75,237.61
台北市內湖區,2015,95685,121274763,1267,776,424,1492,2097,165.45
台北市內湖區,2016,96648,122342226,1266,773,421,1492,2186.1,172.7
台北市士林區,2002,82397,87834866,1066,620,361,1134,5266.49,494.04
台北市士林區,2003,81784,88773367,1085,605,350,1113,5619,517.66
台北市士林區,2004,83252,90828434,1091,618,357,1144,3732.61,342.13
台北市士林區,2005,83623,97373741,1164,639,370,1197,4140.46,355.58
台北市士林區,2006,84478,98608854,1167,643,370,1206,4008.33,343.39
台北市士林區,2007,85353,104217990,1221,659,377,1248,4308.59,352.87
台北市士林區,2008,86017,108902497,1266,671,383,1265,5479.21,432.78
台北市士林區,2009,83556,92400519,1106,623,357,1169,4028.14,364.26
台北市士林區,2010,85669,104652398,1222,634,354,1205,6891.65,564.15
台北市士林區,2011,87906,114635244,1304,666,369,1271,7659.22,587.33
台北市士林區,2012,90266,118918018,1317,689,383,1309,8746.91,663.94
台北市士林區,2013,90844,112365105,1237,672,373,1281,5487.01,443.61
台北市士林區,2014,92444,139570043,1510,694,383,1328,12862.42,851.94
台北市士林區,2015,92633,122917589,1327,702,389,1339,7807.17,588.36
台北市士林區,2016,93143,120907079,1298,699,384,1334,7113.83,548.03
台北市北投區,2002,67825,63154358,931,599,356,1064,2741.34,294.41
台北市北投區,2003,67729,64059147,946,593,346,1065,2599.39,274.83
台北市北投區,2004,69174,66895427,967,604,354,1104,2146.52,221.96
台北市北投區,2005,70008,70717904,1010,621,361,1140,2278.86,225.6
台北市北投區,2006,71064,72607521,1022,628,364,1162,2234.94,218.74
台北市北投區,2007,71896,76799614,1068,643,372,1193,2332.68,218.37
台北市北投區,2008,72686,79682779,1096,655,377,1221,2757.15,251.51
台北市北投區,2009,71034,71430558,1006,613,355,1138,2211.39,219.91
台北市北投區,2010,73050,76699559,1050,625,354,1176,2889.53,275.2
台北市北投區,2011,75328,82861922,1100,654,368,1231,2868.39,260.76
台北市北投區,2012,78176,88799898,1136,683,383,1285,7014.1,617.49
台北市北投區,2013,78732,85377682,1084,669,374,1264,2346.36,216.37
台北市北投區,2014,80237,93696782,1168,690,384,1315,3611.06,309.23
台北市北投區,2015,80904,91950867,1137,698,387,1328,2333.85,205.35
台北市北投區,2016,81731,92886102,1136,699,384,1323,2436,214.35
台北市信義區,2002,69143,75383783,1090,652,374,1181,9073.14,832.2
台北市信義區,2003,68359,75087336,1098,635,364,1158,9339.27,850.24
台北市信義區,2004,69211,75994223,1098,648,371,1192,7549.32,687.55
台北市信義區,2005,69816,82338911,1179,670,380,1241,9406.01,797.55
台北市信義區,2006,70080,84990027,1213,677,386,1258,9776.95,806.18
台北市信義區,2007,70909,89511608,1262,688,390,1303,9492.73,751.99
台北市信義區,2008,71085,93305003,1313,696,392,1323,10967.94,835.6
台北市信義區,2009,69053,80729725,1169,651,368,1226,10123.67,865.94
台北市信義區,2010,70423,87622684,1244,665,364,1263,10440.8,839.13
台北市信義區,2011,72208,95864395,1328,698,382,1323,12251.35,922.81
台北市信義區,2012,73976,98598465,1333,715,392,1356,12455.44,934.5
台北市信義區,2013,74575,98286199,1318,697,382,1320,13235.89,1004.28
台北市信義區,2014,75270,112236695,1491,719,392,1368,26097.82,1750.21
台北市信義區,2015,75074,100603243,1340,731,398,1379,9858.13,735.65
台北市信義區,2016,75299,98906659,1314,729,395,1379,9212.99,701.4
台北市其他,2002,2372,1720495,725,475,264,884,868.58,119.75
台北市其他,2003,1630,1246836,765,489,255,921,1011.85,132.28
台北市其他,2004,1354,1269849,938,508,269,938,4168.18,444.44
台北市其他,2005,1286,1114034,866,526,277,1056,1216.23,140.4
台北市其他,2006,980,864060,882,537,276,1032,1376.72,156.15
台北市其他,2007,723,615532,851,567,325,1012,971.39,114.1
台北市其他,2008,162,209801,1295,527,315,963,5923.75,457.41
台北市其他,2009,94,97199,1034,500,273,958,1867.02,180.56
台北市其他,2010,828,908278,1097,715,415,1265,1521.57,138.71
台北市其他,2011,723,914080,1264,758,426,1344,2062.61,163.14
台北市其他,2012,448,505957,1129,675,380,1228,2588.88,229.23
台北市其他,2013,546,555352,1017,629,345,1172,1477.36,145.25
台北市其他,2014,451,1304688,2893,599,332,1192,39726.39,1373.25
台北市其他,2015,344,389313,1132,632,334,1326,1447.33,127.89
台北市其他,2016,309,520713,1685,675,346,1575,3542.85,210.24
台中市中區,2002,4674,3889960,832,507,279,942,1752.71,210.6
台中市中區,2003,4606,3748690,814,495,259,924,2145.96,263.67
台中市中區,2004,4707,4074571,866,509,277,941,2235.77,258.28
台中市中區,2005,4755,4391759,924,536,287,981,2097.78,227.13
台中市中區,2006,4610,4215647,914,534,280,993,1867.64,204.24
台中市中區,2007,4643,4334384,934,549,299,1036,2026.62,217.09
台中市中區,2008,4533,4466954,985,569,302,1073,2048.44,207.87
台中市中區,2009,4329,3656916,845,529,283,975,1513.65,179.18
台中市中區,2010,4383,3850714,879,523,277,988,1967.74,223.97
台中市中區,2011,4423,4161572,941,540,292,1056,2458.66,261.31
台中市中區,2012,4381,4003771,914,562,295,1065,1730.58,189.36
台中市中區,2013,4325,3801518,879,527,288,1001,2298.06,261.45
台中市中區,2014,4258,4190020,984,548,295,1022,4271.83,434.11
台中市中區,2015,4227,3963595,938,548,297,1040,2638.67,281.4
台中市中區,2016,4248,3843069,905,543,290,1030,1785.25,197.34
台中市東區,2002,14869,9706838,653,487,288,807,667.23,102.21
台中市東區,2003,15031,9623636,640,469,277,783,681.15,106.39
台中市東區,2004,15401,10314212,670,483,284,809,797.57,119.09
台中市東區,2005,15802,11164757,707,491,288,844,894.13,126.55
台中市東區,2006,16435,11583900,705,497,294,852,867.84,123.13
台中市東區,2007,16891,12263682,726,515,304,879,858.94,118.3
台中市東區,2008,17095,12782853,748,524,307,897,1090.29,145.81
台中市東區,2009,16493,11332087,687,490,287,835,839.67,122.21
台中市東區,2010,16933,12024023,710,501,288,840,1665.28,234.52
台中市東區,2011,17504,13189937,754,526,298,898,1815.29,240.9
台中市東區,2012,18492,14356112,776,552,311,943,1102.84,142.06
台中市東區,2013,18822,14245936,757,533,305,923,1065.09,140.72
台中市東區,2014,19285,15182149,787,549,310,960,1026.52,130.39
台中市東區,2015,19749,15800040,800,547,312,957,2212.45,276.54
台中市東區,2016,19822,16285449,822,563,320,980,2381,289.81
台中市西區,2002,27502,25763710,937,609,335,1115,1664.36,177.67
台中市西區,2003,27558,26176700,950,597,327,1106,2160.38,227.44
台中市西區,2004,28287,27288896,965,611,334,1139,1905.02,197.47
台中市西區,2005,28707,29290007,1020,627,343,1186,2222.15,217.79
